"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"confirm_delete_media";"Are you sure you want to delete this Multimedia Object?"
"confirm_delete_note";"Are you sure you want to delete this General Note?"
"confirm_delete_person";"Are you sure you want to delete this individual?"
"confirm_delete_repo";"Are you sure you want to delete this repository?"
"confirm_delete_source";"Are you sure you want to delete this source?"
"confirm_faq_delete";"Are you sure you want to delete the FAQ entry"
"confirm_fav_remove";"Are you sure you want to remove this item from your list of Favorites?"
"confirm_folder_delete";"Are you sure you want to delete this folder?"
"confirm_gedcom_delete";"Are you sure you want to delete this file"
"confirm_journal_delete";"Are you sure you want to delete this Journal entry?"
"confirm_message_delete";"Are you sure you want to delete this message?  It cannot be retrieved later."
"confirm_news_delete";"Are you sure you want to delete this News entry?"
"confirm_page_delete";"Are you sure you want to delete this page?"
"confirm_password";"You must confirm the password."
"confirm_remove";"Are you sure you want to remove this person from the family?"
"confirm_sure";"Are you sure you want to do this?"
"confirm_user_delete";"Are you sure you want to delete the user"
"connections";"Place connections found"
"contact_conf";"Contact Information"
"content";"Content"
"contents";"Contents"
"continue";"Continue Adding"
"continue_import";"Continue importing"
"cookie_message";"This site uses cookies to keep track of your login status.<br /><br />Cookies do not appear to be enabled in your browser. You must enable cookies for this site before you can login.  You can consult your browser's help documentation for information on enabling cookies."
"copy";"Copy"
"counters";"Hit counters"
"cousin-in-law";"Cousin-in-law"
"create_dir";"Create directory"
"create_general_note";"Create a new General Note"
"create_repository";"Create Repository"
"create_source";"Create a new source"
"create_user";"Create User"
"created_blocks";"Successfully created <i>Blocks</i> table."
"created_blocks_fail";"Unable to create <i>Blocks</i> table."
"created_cache";"Successfully created <i>Eventcache</i> table."
"created_cache_fail";"Unable to create <i>Eventcache</i> table."
"created_changes";"Successfully created <i>Changes</i> table."
"created_changes_fail";"Unable to create <i>Changes</i> table."
"created_counters";"Successfully created <i>Counters</i> table."
"created_counters_fail";"Unable to create <i>Counters</i> table."
"created_dates";"Successfully created <i>Dates</i> table."
"created_dates_fail";"Unable to create <i>Dates</i> table."
"created_fams";"Successfully created <i>Families</i> table."
"created_fams_fail";"Unable to create <i>Families</i> table."
"created_favorites";"Successfully created <i>Favorites</i> table."
"created_favorites_fail";"Unable to create <i>Favorites</i> table."
"created_gedcoms";"Successfully created <i>Gedcoms</i> table."
"created_gedcoms_fail";"Unable to create <i>Gedcoms</i> table."
"created_gedconf";"Successfully created <i>Gedcom configuration</i> table."
"created_gedconf_fail";"Unable to create <i>Gedcom configuration</i> table."
"created_indis";"Successfully created <i>Individuals</i> table."
"created_indis_fail";"Unable to create <i>Individuals</i> table."
"created_individual_child";"Successfully created <i>Child</i> table."
"created_individual_child_fail";"Unable to create <i>Child</i> table."
"created_individual_spouse";"Successfully created <i>Spouses</i> table."
"created_individual_spouse_fail";"Unable to create <i>Spouses</i> table."
"created_language";"Successfully created <i>Language</i> table."
"created_language_fail";"Unable to create <i>Language</i> table."
"created_language_help_fail";"Unable to create <i>Language Help</i> table."
"created_log";"Successfully created <i>Log</i> table."
"created_log_fail";"Unable to create <i>Log</i> table."
"created_media";"Successfully created <i>Media</i> table."
"created_media_fail";"Unable to create <i>Media</i> table."
"created_media_mapping";"Successfully created <i>Media mappings</i> table."
"created_media_mapping_fail";"Unable to create <i>Media mappings</i> table."
"created_messages";"Successfully created <i>Messages</i> table."
"created_messages_fail";"Unable to create <i>Messages</i> table."
"created_names";"Successfully created <i>Names</i> table."
"created_names_fail";"Unable to create <i>Names</i> table."
"created_news";"Successfully created <i>News</i> table."
"created_news_fail";"Unable to create <i>News</i> table."
"created_other";"Successfully created <i>Other</i> table."
"created_other_fail";"Unable to create <i>Other</i> table."
"created_pages";"Successfully created <i>Pages</i> table."
"created_pages_fail";"Unable to create <i>Pages</i> table."
"created_placelinks";"Successfully created <i>Place links</i> table."
"created_placelinks_fail";"Unable to create <i>Place links</i> table."
"created_places";"Successfully created <i>Places</i> table."
"created_places_fail";"Unable to create <i>Places</i> table."
"created_privacy";"Successfully created <i>Gedcom privacy</i> table."
"created_privacy_fail";"Unable to create <i>Gedcom privacy</i> table."
"created_scache";"Successfully created <i>Statisticscache</i> table."
"created_scache_fail";"Unable to create <i>Statisticscache</i> table."
"created_sources";"Successfully created <i>Sources</i> table."
"created_sources_fail";"Unable to create <i>Sources</i> table."
"created_users";"Successfully created <i>Users</i> table."
"created_users_fail";"Unable to create <i>Users</i> table."
"current_dir";"Current directory: "
"current_gedcoms";"Current files"
"current_users";"User List"
"custom_event";"Custom Event"
"custom_page_add";"Add a custompage"
"custom_page_edit";"Edit a custompage"
"customize_gedcom_page";"Customize this file Welcome page"
"customize_page";"Customize MyGenmod Portal"
"cut";"Cut"
"daily";"Daily"
"data_incorrect";"Data was not correct, please try again"
"datachanged";"User data was changed"
"datachanged_name";"You may need to login again with your new user name."
"dataset_exists";"A GEDCOM with this file name has already been imported into the database."
"date";"Date"
"date_created";"Date Sent:"
"date_format";"Date format"
"date_registered";"Date registered"
"date_time";"Date and time"
"dateconvert";"Date Conversion tool"
"daughter";"Daughter"
"daughter-in-law";"Daughter-in-law"
"day";"Day:"
"day1";"day"
"day_before_month";"Day before Month (DD MM YYYY)"
"day_not_set";"Day not set"
"days";"days"
"days_to_show";"Number of days to show"
"db";"Database"
"db_setup_bad";"Your current database configuration is bad.  Please check your database connection parameters and configure again."
"db_to_file";"Export DB mediafiles to filesystem"
"dead";"Dead "
"death";"Death:"
"death_report";"Death Date and Place Report"
"deathdate1";"Death Date range start"
"deathdate2";"Death Date range end"
"deathplac";"Death place"
"deathplace";"Death Place contains"
"deathyear";"Death year"
"dec";"December"
"deceased";"Deceased"
"default";"Default"
"default_form";"City, County, State/Province, Country"
"default_form_info";"(Default)"
"default_news_text";"The genealogy information on this website is powered by <a href="http://www.sourceforge.net/projects/genmod/" target="_blank">Genmod #VERSION#</a>.  This page provides an introduction and overview to this genealogy.<br /><br />To begin working with the data, choose one of the charts from the Charts menu, go to the Individual list, or search for a name or place.<br /><br />If you have trouble using the site, you can click on the Help icon to give you information on how to use the page that you are currently viewing.<br /><br />Thank you for visiting this site."
"default_news_title";"Welcome to Your Genealogy"
"default_user";"Create the default administrative user."
"definitions";"Definitions"
"del_exist_db";"Overwrite existing files in the database"
"del_exist_files";"Overwrite existing files in the filesystem"
"del_exp_files";"Delete exported files from the database"
"del_gedrights";"GEDCOM no longer active, remove user references."
"del_imp_files";"Delete imported files from the filesystem"
"del_mail";"Empty selected mailboxes"
"del_mm_file1";"Are you sure you want to delete this file?"
"del_mm_file2";"\nThis will cause dead links in the Multimedia objects where this file is used."
"del_proceed";"Continue"
"del_unvera";"User not verified by administrator."
"del_unveru";"User didn't verify within 7 days."
"del_upl_files";"Overwrite existing file"
"delete";"Delete"
"delete_dir_success";"Media and thumbnail directories successfully removed."
"delete_directory";"Delete directory"
"delete_fact";"Delete fact"
"delete_fail";"There was a problem deleting the file(s)"
"delete_family";"Delete family"
"delete_family_confirm";"Deleting the family will unlink all of the individuals from each other but will leave the individuals in place.  Are you sure you want to delete this family?"
"delete_faq_item";"Delete FAQ item"
"delete_file";"Delete file"
"delete_indi";"Delete individual"
"delete_media";"Delete this Multimedia Object"
"delete_name";"Delete Name"
"delete_note";"Delete this General Note"
"delete_ok";"File(s) are succesfully deleted."
"delete_person";"Delete this individual"
"delete_repo";"Delete Repository"
"delete_sel_configs";"Delete selected configurations"
"delete_selected";"Delete selected locks"
"delete_selected_messages";"Delete Selected Messages"
"delete_source";"Delete this Source"
"delete_user_nok";"User has not been deleted successfully."
"delete_user_ok";"User has been deleted successfully."
"descend_chart";"Descendancy Chart"
"descend_report";"Descendancy Report"
"descendancy_header";"Descendancy Report for "
"descendants";"Descendants"
"descent_steps";"Descent steps"
"description";"Description"
"deselect_all";"Deselect all"
"detected_change";"Genmod detected a change in <b>#GEDCOM#</b>. Index files must be rebuilt before proceeding."
"differences";"Differences"
"dir_created";"Successfully created directory"
"dir_exists";"Directory already exists"
"dir_not_created";"Directory not created"
"dirdel_fail";"There was a problem removing the directory"
"dirdel_ok";"Directory succesfully deleted"
"direct-ancestors";"Direct line ancestors"
"directories";"Directories"
"directory_not_empty";"Directory not empty."
"directory_not_exist";"Directory does not exist."
"disabled";"Disabled"
"disp_db_settings";"Display database settings"
"displ_comsurn_conf";"Common Surnames"
"displ_conf";"Display and Layout"
"displ_hide_conf";"Hide and Show"
"displ_layout_conf";"Layout"
"displ_names_conf";"Names"
"display_all";"Display all"
"disproved";"Disproved"
"do_massupdate";"Perform mass update with selected"
"do_not_change";"Do not change"
"does_not_exist";"does not exist"
"download";"Right click (control-click on a Macintosh) on the links below and select &quot;Save target as&quot; to download the files."
"download_file";"Download File"
"download_gedcom";"Download GEDCOM"
"download_gedconf";"Download GEDCOM configuration."
"download_here";"Click here to download file."
"download_note";"NOTE: Large GEDCOMs can take a long time to process before downloading.  If PHP times out before the download is complete, you may not get a complete download.<br /><br />To make sure that the GEDCOM file was downloaded correctly, check that its last line is <b>0&nbsp;TRLR</b>.  GEDCOM files are text; you can use any suitable text editor, but be sure to <u>not</u> save the downloaded GEDCOM file after you have inspected it.<br /><br />In general, it could take as much time to download as it took to import your GEDCOM file."
"download_now";"Download Now"
"download_report";"Download report"
"download_zipped";"Download GEDCOM as ZIP file?"
"drop_tables";"Drop the current tables"
"duplicate_username";"Duplicate user name.  A user with that user name already exists.  Please choose another user name."
"duplicatedb";"Database and table prefix already used by another site. Specify either another database or another table prefix."
"duplicateindexdir";"This Index Directory is already in use by another site. Please create and specify a unique one."
"dynasty_list";"Overview of families"
"edit";"Edit"
"edit_exist_global_facts_settings";"Edit existing settings for Global Fact Level Privacy"
"edit_exist_person_facts_settings";"Edit existing settings for Specific Fact Level Privacy"
"edit_exist_person_privacy_settings";"Edit existing settings for Record Level Privacy "
"edit_exist_user_privacy_settings";"Edit existing settings for User Related Privacy"
"edit_fact";"Edit fact"
"edit_fam";"Edit Family"
"edit_faq_item";"Edit FAQ item"
"edit_gender";"Edit gender"
"edit_indi";"Edit individual"
"edit_lang_utility";"Language File Edit Utility"
"edit_lang_utility_desc";"You can use this utility to edit the contents of a language file by using the contents of the English one.<br /><br />You will see the contents of the original English language file and the contents of the same file type (there are four of these) in your chosen language.  You click on the message text shown below the English version.  This opens a new window where you can modify the text.  You can save the changes or abandon them."
"edit_langdiff";"Edit and configure language files"
"edit_media";"Edit media"
"edit_name";"Edit Name"
"edit_news";"Add/Edit Journal/News entry"
"edit_note";"Edit Note"
"edit_pages";"Edit pages"
"edit_privacy";"Edit Privacy"
"edit_privacy_title";"Edit GEDCOM privacy settings"
"edit_quickupdate";"Quick update"
"edit_raw";"Edit raw GEDCOM record"
"edit_repo";"Edit Repository"
"edit_rights";"Edit rights"
"edit_settings";"Edit settings"
"edit_sex";"Edit Sex"
"edit_sour";"Edit Source"
"edit_source";"Edit Source"
"editaccount";"Allow this user to edit his account information"
"editlang";"Edit"
"editlang_edit";"Edit message from language file"
"editlang_facts_export_no_success";"Facts file export error"
"editlang_facts_export_success";"Facts file export successful"
"editlang_help_export_no_success";"Language help file export error"
"editlang_help_export_success";"Language help file export successful"
"editlang_help_no_export_success";"Language help file export error"
"editlang_lang_export_no_success";"Language file export error"
"editlang_lang_export_success";"Language file export successful"
