"ABBREVIATE_CHART_LABELS";"Afgekorte veldtitels"
"paternal_longest";"Langste"
"paternal_maternal";"Matriarch"
"paternal_parents";"Ouders"
"paternal_paternal";"Patriarch"
"paternal_self";"Deze persoon"
"path_to_gedcom";"Geef het pad naar uw GEDCOM-bestand:"
"patriarch_list";"Stamouders"
"pdf_reports";"PDF rapporten"
"pedigree_chart";"Kwartierstaat"
"people";"PERSONEN"
"per_page";"media objecten per pagina"
"performing_update";"Update uitvoeren."
"performing_validation";"GEDCOM-validatie wordt uitgevoerd, selecteer de benodigde opties en klik op "Opschonen""
"person1";"Persoon 1"
"person2";"Persoon 2"
"person_ancestor_fams";"Voeg deze persoon, de directe voorouders en hun gezinnen toe."
"person_ancestors";"Voeg deze persoon en de directe voorouders toe."
"person_desc";"Voeg deze persoon, zijn/haar partner en alle nakomelingen toe."
"person_facts";"Specifieke instellingen voor gegevens op feit/gebeurtenisniveau"
"person_links";"Verwijzingen naar overzichten, gezinnen en verwanten van deze persoon."
"person_list";"Persoonslijst:"
"person_living";"Deze persoon leeft nog. Persoonlijke details worden niet toegevoegd."
"person_not_found";"Persoon niet gevonden."
"person_parents_sibs";"Voeg deze persoon, zijn/haar ouders en broers en zussen toe."
"person_privacy";"Privacy instellingen op recordniveau"
"person_private";"Details van deze persoon zijn privé. Persoonlijke details worden niet toegevoegd."
"person_spouse";"Voeg deze persoon, zijn/haar partner en kinderen toe."
"personal_facts";"Persoonlijke feiten en details"
"phone";"Telefoon:"
"photo_replace";"Wilt u een bestaande afbeelding vervangen door deze?"
"phpinfo";"Toon PHP-informatie"
"physical_files";"Multimediabestanden"
"pinyin_block";"Mandarijn naar PinYin"
"pinyin_chinese_text";"Voer Chinese tekst in"
"pinyin_pinyin_text";"PinYin"
"pinyin_translate";"Vertaal"
"pinyin_translate_desc";"Vertaal Vereenvoudigd Chinese karakters naar PinYin"
"pinyin_translator";"PinYin-vertaler"
"pl_large";"Groot"
"pl_scr";"Schermgrootte"
"pl_shadow";"Schaduw:"
"pl_show_event";"Filter op gebeurtenis voor deze locatie:"
"pl_size";"Grafiekgrootte:"
"pl_std";"Standaard"
"pl_val";"Positie waarden:"
"pl_win";"Windowgrootte"
"pl_xlarge";"Extra groot"
"place_cleanup_detected";"Foutieve locatiecoderingen aanwezig. Deze fouten moeten hersteld worden. Het volgende bestandsdeel geeft de foutieve locatiecodering aan:"
"place_contains";"Locatie bevat:"
"place_description";"Plaats / Omschrijving"
"place_list";"Personen per locatie"
"place_list2";"Locatielijst"
"place_list_aft";"Locaties binnen"
"place_list_objects";"Personen, gezinnen en bronnen voor deze locatie"
"please_be_patient";"EVEN GEDULD A.U.B."
"please_wait";"Even geduld a.u.b. De indexbestanden moeten opnieuw worden opgebouwd."
"pls_note06";"U ontvangt een bevestigingsbericht naar het emailadres ( #user_email# ). Met de gegevens in dit bericht kunt u uw gebruikersnaam activeren. Als dit niet binnen zeven dagen gebeurt, wordt uw aanvraag verwijderd. U kunt dan opnieuw een gebruikersnaam aanvragen. Om aan te melden op deze site heeft u altijd een gebruikersnaam en wachtwoord nodig."
"pls_note06a";"Er wordt nu een bevestiging verzonden naar het e-mailadres ( #user_email# ). U dient uw aanvraag te bevestigen, volg hiervoor de instructies in het e-mailbericht. Als u uw aanvraag niet binnen zeven dagen bevestigt, komt uw aanvraag automatisch te vervallen. U moet dan opnieuw een aanvraag indienen.<br /><br />Nadat u uw aanvraag heeft bevestigd, kunt u zich aanmelden als gebruiker op de website. Gebruik hiervoor uw gebruikersnaam en wachtwoord.<br /><br />"
"pls_note07";"Type uw gebruikersnaam, wachtwoord en verificatiecode in. Deze heeft u per e-mail ontvangen."
"pls_note08";"De gegevens van gebruiker #user_name# zijn gecontroleerd."
"pls_note09";"U bent herkend als geregistreerde gebruiker."
"pls_note10";"De beheerder is geïnformeerd.<br /> Zodra hij toestemming heft verleend kunt u met uw gebruikersnaam en wachtwoord aanmelden."
"pls_note10a";"U kunt zich nu aanmelden met uw gebruikersnaam en wachtwoord."
"pls_note11";"Uw wachtwoord kwijtraken is voor u lastig. Daarnaast betekent het ook een beveiligingsprobleem. Als het in handen komt van anderen, kunnen deze ongeoorloofde toegang krijgen tot gegevens.<br /><br />Type uw gebruikersnaam en e-mail adres in om uw wachtwoord opnieuw aan te vragen. Gebruik de gebruikersnaam en het e-mailadres dat u eerder op deze site heeft opgegeven. Klik daarna op de #gm_lang[lost_pw_reset]#-knop.<br /><br />Als de gebruikersnaam en het e-mailadres correct zijn, ontvangt u een e-mailbericht, waarin een koppeling en een code zijn opgenomen. Via de koppeling en het intypen van de code kunt u uw wachtwoord opnieuw instellen. Zorg ervoor, dat het e-mailbericht niet in handen van anderen komt, inclusief de beheerder van deze site (deze zal er niet om vragen).<br /><br />Als u niet meer weet welk e-mailadres u eerder op de site heeft opgegeven, kunt u meerdere e-mailadressen proberen. Onze e-mail met de koppeling en code worden alleen verzonden, wanneer de juiste combinatie van gebruikersnaam en e-mailadres is opgegeven. In geval van problemen kunt u altijd contact opnemen met de beheerder van deze site."
"pls_note12";"Gebruik dit vak om aan te geven waarom u als gebruiker wilt worden geregisteerd en hoe u gerelateerd bent aan deze genealogie."
"portal_config_intructions";"Op deze pagina kunt u uw persoonlijke MyGenmod-pagina inrichten. U kunt kiezen welke vakken worden getoond en welke op positie op het scherm ze worden geplaatst.<br /><br />De pagina is in twee secties verdeeld: aan de linkerkant van het scherm de hoofdsectie, waarin de vakken groot worden weergegeven. Aan de rechterkant de rechtersectie, waarin de vakken klein worden weergegeven.<br /><br />Per sectie kunt u aangeven welke vakken worden getoond en, van boven naar beneden, in welke volgorde."
"portrait";"Staand"
"position_item";"Onderdeel positioneren"
"ppp_placelist_help2";"~LOCATIELIJST~<br /><br />In deze lijst ziet u de locaties die zijn gevonden.<br />U kunt op de locatienamen klikken, dit brengt u een niveau dieper.<br />Op ieder niveau behalve het hoogste krijgt u een lijst met personen en gezinnen te zien, waarvan een gebeurtenis aan de desbetreffende locatie is gekoppeld."
"preferred_lang";"Deze gebruiker ontvangt de berichten graag in het #USERLANG#"
"prev";"&lt; vorige"
"preview";"Voorbeeld"
"priest";"Priester"
"primary";"Primair"
"print";"Afdrukken"
"print_preview";"Printervriendelijke versie"
"privacy";"privé"
"privacy_error";"Details van deze gegevens zijn privé.<br />"
"privacy_header";"Wijzig interne privacy instellingen"
"privacy_indi";"Persoon"
"privacy_indi_id";"Persoons - ID"
"privacy_indi_source";"Persoon / Bron"
"privacy_list_fam_error";"Een of meer gezinnen zijn verborgen als gevolg van privacy-instellingen."
"privacy_list_indi_error";"Een of meer personen zijn verborgen als gevolg van privacy-instellingen."
"privacy_not_granted";"U heeft geen toegang tot"
"privacy_prevented_editing";"Volgens de privacy-instellingen heeft u geen rechten om deze gegevens te wijzigen."
"privacy_source";"Bron"
"privacy_source_id";"Bron - ID"
"private";"Privé"
"privileges";"Rechten"
"processed_for";"Bestand verwerkt voor"
"provide_email";"Geef het e-mailadres waar wij het antwoord op uw bericht heen kunnen sturen. Als u dit achterwege laat kunnen wij uw vraag niet beantwoorden. Uw e-mailadres wordt uitsluitend gebruikt om uw vraag te beantwoorden."
"publication";"Publicatie:"
"pwreqinfo";"Hallo....<br /><br />Een nieuw wachtwoord is per e-mail verzonden aan het bij Genmod bekende e-mailadres.<br /><br />Binnen enkele minuten zal deze in uw mailbox worden bezorgd.<br /><br />Aanbeveling:<br /><br />Meldt u na ontvangst van de e-mail met uw gebruikersnaam en nieuwe wachtwoord aan en wijzig daarna uw wachtwoord."
"qm";"?"
"qm_ah";"?"
"qs_calendar";"Zoeken via de kalender"
"qs_findfam";"Selecteer een gezin uit de lijst"
"qs_findindi";"Selecteer een persoon uit de lijst"
"qs_jump";"Ga snel naar"
"qs_login";"Aanmelden met uw bestaande gebruikersnaam"
"qs_search_all";"Doorzoek alle genealogiën met Quick Start?"
"query";"Zoekvraag"
"query_exec_time";"Query uitvoeringstijd:"
"quick_update_instructions";"Op deze pagina kunt u snel informatie over een persoon toevoegen of wijzigen. U hoeft alleen de informatie in te vullen die u wilt toevoegen of wijzigen. Vervolgens moeten de gegevens eerst worden goedgekeurd door een beheerder, alvorens ze op de website verschijnen."
"quick_update_title";"Snel toevoegen/wijzigen"
"quickstart";"Snel starten"
"quickstart_block";"Snel starten"
"rabbi";"Rabbijn"
"random_media_block";"Willekeurige afbeelding"
"random_media_descr";"In het vak "Willekeurige afbeelding" wordt een willekeurige foto of ander multimedia-object geselecteerd en aan de gebruiker getoond."
"random_picture";"Willekeurige afbeelding"
"rcblock_show_fam";"Toon wijzigingen voor gezinnen"
"rcblock_show_indi";"Toon wijzigingen voor personen"
"rcblock_show_obje";"Toon wijzigingen voor multimedia-items"
"rcblock_show_repo";"Toon wijzigingen voor bewaarplaatsen"
"rcblock_show_sour";"Toon wijzigingen voor bronnen"
"reading_file";"GEDCOM-bestand inlezen"
"readme_documentation";"README documentatie"
"rebuild_indexes";"Indexen (opnieuw) aanmaken"
"rebuilt_isdead";"IsDead-status is opgebouwd"
"recent_changes";"Recente wijzigingen"
"recent_changes_block";"Recente wijzigingen"
"recent_changes_descr";"In het vak "Recente wijzigingen" treft u een overzicht aan van alle wijzigingen die in de afgelopen maand zijn aangebracht. De wijzigingen worden getoond aan de hand van de informatie hierover in de persoons- en gezinsinformatie."
"recent_changes_none";"Geen wijzigingen in de afgelopen #gm_lang[global_num3]# dagen."
"recent_changes_some";"Wijzigingen in de afgelopen #gm_lang[global_num3]# dagen"
"recent_events";"Recent verleden (< 100 jaar)"
"record";"Gegevens"
"record_copied";"Gegevens naar klembord gekopieerd"
"record_not_removed";"Gegevens van #xref# kunnen niet uit het bestand worden verwijderd."
"record_not_updated";"Gegevens van #pid# kunnen niet worden bijgewerkt."
"record_removed";"Gegevens van #xref# zijn verwijderd uit het bestand."
"record_to_be_deleted";"Te verwijderen gegevens"
"record_updated";"Gegevens van #pid# zijn bijgewerkt."
"recs_present";"Logrecords aanwezig:"
"reduce";"Verkleinen"
"refresh";"Ververs"
"registernew";"Bevestiging nieuwe gebruiker"
"registry_officer";"Kerkelijk ambtenaar"
"reject";"Wijs af"
"reject_all";"Alle wijzigingen afwijzen"
"reject_all_confirm";"Weet u zeker dat u alle wijzigingen voor deze genealogie wilt afwijzen?"
"reject_successful";"Afwijzen succesvol uitgevoerd"
"rela_husb";"Relatie tot partner"
"rela_wife";"Relatie tot partner"
"related_event";"Gerelateerde gebeurtenis"
"relation_families";"Familierelaties en primaire familie voor overzichten"
"relation_fams_short";"Kind/familierelatie en primaire familie voor overzichten"
"relations";"Relaties"
"relationship_chart";"Verwantschap"
"relationship_to_me";"Relatie met mij"
"relationstomefamily";"Personen die relateren aan dit gezin"
"relationstomeperson";"Personen die relateren aan deze persoon"
"relationstoothers";"Personen en gezinnen waar deze persoon aan is gerelateerd"
"relatives";"Verwanten"
"relatives_events";"Gebeurtenissen van naaste familie"
"relatives_report";"Verwanten"
"relatives_report_ext";"Verwanten (uitgebreid)"
"release_at";"Vrijgeven"
"remember_me";"Onthoudt mij op deze PC?"
"remove";"Verwijderen"
"remove_child";"Verwijder dit kind uit het gezin"
"remove_custom_tags";"Verwijder speciale GM-kenmerken (bijv. _GMU, _THUM)?"
"remove_person";"Persoon verwijderen"
"reorder_children";"Kinderen herschikken"
"reorder_families";"Gezinnen herschikken"
"reorder_media";"Media-items herschikken"
"replace";"Gegevens vervangen"
"reply";"Antwoord"
"repo";"Bewaarplaats"
"repo_contains";"Bewaarplaats bevat:"
"repo_downloaded_from";"Deze bewaarplaats is gedownload van:"
"repo_id_no_exists";"Dit bewaarplaats-ID bestaat niet, voer een geldige in!"
"repo_info";"Informatie bewaarplaats"
"repo_linking";"Links van bewaarplaatsen"
"repo_list";"Bewaarplaatsen"
"repo_name";"Naam bewaarplaats:"
"repo_not_found";"Bewaarplaats niet gevonden"
"report_engine";"Rapportgenerator"
"reports";"Rapporten"
"repos";"Bewaarplaatsen"
"repos_found";"Bewaarplaatsen gevonden"
"requestaccount";"Vraag gebruikersnaam aan"
"requestpassword";"Vraag nieuw wachtwoord aan"
"research_log";"Actiepunten"
"reset";"Herstel"
"reset_default_blocks";"Terug naar standaardindeling"
"reset_isdead";"Isdead-status van personen terugstellen"
"resolution";"Schermresolutie"
"restart_setup";"Installatie herstarten"
"return_editconfig_gedcom";"U kunt ten allen tijde terugkeren naar deze pagina, door te klikken op de koppeling <b>Wijzig</b> in de tabel <b>Huidige GEDCOM-bestanden</b> op de Pagina <b>Beheer GEDCOM-bestanden en privacy instellingen</b>, of met uw internet verkenner het bestand editconfig_gedcom.php op te roepen.<br />"
"review_changes";"Beoordeel GEDCOM-wijzigingen"
"review_changes_block";"Te beoordelen wijzigingen"
"review_changes_body";"Er zijn wijzigingen aangebracht op een genealogie op de Genmod site. Deze wijzigingen moeten worden beoordeeld, voordat ze voor gebruikers zichtbaar zijn. Gebruik de link hieronder om naar de site te gaan en u aan te melden om de wijzigingen te beoordelen."
"review_changes_descr";"Het vak "Te beoordelen wijzigingen" toont een lijst met gegevens die op de website zijn aangebracht, maar nog niet zijn beoordeeld en goed- of afgekeurd. Als dit vak is geactiveerd, wordt eens per dag een e-mailbericht verzonden aan gebruikers die accepteer-rechten hebben, om ze te waarschuwen dat er wijzigingen wachten op beoordeling."
"review_changes_email";"Herinneringse-mails verzenden?"
"review_changes_email_freq";"Frequentie voor herinneringse-mails (dagen)"
"review_changes_subject";"Genmod - Beoordeel wijzigingen"
"right_section";"Vakken rechter sectie"
"role";"Rol"
"root_person";"Startpersoon "
"rootid";"Startpersoon van de overzichten"
"rss_descr";"Nieuws en snelkoppelingen op de #GEDCOM_TITLE# website"
"rss_feeds";"RSS feeds"
"rss_logo_descr";"Vervaardigd met Genmod"
"rtl";"v.r.n.l.:"
"run_report";"Maak rapport"
"run_tools";"Wilt u een van de volgende programma's uitvoeren voordat het GEDCOM-bestand wordt geïmporteerd:"
"same_ids";"U heeft dezelfde ID's ingegeven. Samenvoegen is niet mogelijk."
"saturday";"Zaterdag"
"saturday_1st";"Za"
"save";"Opslaan"
"save_and_import";"Nadat u deze GEDCOM-configuratie heeft opgeslagen, moet u opnieuw het GEDCOM-bestand importeren door op de knop <b>Importeer GEDCOM</b> te klikken of te gaan naar <b>Beheren->Beheer GEDCOMs->Importeren GEDCOM-bestand</b>"
"save_changed_settings";"Wijzigingen opslaan"
"save_config";"Instellingen opslaan"
"savedata";"Gewijzigde gegevens opslaan"
"savelang";"Opslaan"
"sc_check";"Controleer"
"sc_check_components";"Controleer systeemcomponenten"
"sc_check_gedtags";"Controleer op onbekende GEDCOM-tags in de geselecteerde GEDCOM-bestanden"
"sc_check_invgeds";"Controle op ongeldige GEDCOM-ID's"
"sc_check_oldgeds";"Controleer tabellen op niet bestaande GEDCOM-ID's"
"sc_check_sys_settings";"Controleer PHP- en MySQL-instellingen"
"sc_cits";"Controleer op gebeurtenissen zonder bronvermelding (gezinnen en personen)"
"sc_cits_ok";"Alle gebeurtenissen hebben een bronvermelding."
"sc_dir_noaccess";"Kan map niet lezen. Controleer de mapnaam en toegangsrechten voor:"
"sc_empty_fam";"De volgende gezinnen hebben geen gezinsleden:"
"sc_facttag";"GEDCOM-tag:"
"sc_fam";"Gezin:"
"sc_fdatasize";"Totale omvang hoofdbestanden:"
"sc_file";"Bestand:"
"sc_fs_dirrw";"De volgende mappen zijn schrijfbaar. Wijzig de rechten van deze mappen naar alleen lezen:"
"sc_fs_filesro";"De volgende bestanden zijn alleen lezen. Wijzig de rechten naar lezen/schrijven:"
"sc_fs_filesrw";"De volgende bestanden zijn schrijfbaar. Wijzig de toegangsrechten in alleen lezen:"
"sc_fs_index";"Index-map en bestanden"
"sc_fs_index_error";"De index-map is niet schrijfbaar. Wijzig de rechten naar lezen/schrijven."
"sc_fs_languages";"Map en bestanden voor talen"
"sc_fs_languages_ro";"Uw map voor taalbestanden en de taalbestanden zijn niet schrijfbaar. U kunt de vertaalfaciliteiten van Genmod niet gebruiken."
"sc_fs_languages_rw";"De map voor taalbestanden en/of de taalbestanden zijn schrijfbaar. Dit is alleen noodzakelijk als u de vertaalfaciliteiten van Genmod wilt gebruiken."
"sc_fs_main";"Mappen en bestanden op basisniveau"
"sc_fs_main_error";"De basismap is schrijfbaar. Wijzig de rechten naar alleen lezen."
"sc_fs_media";"Multimediamap en -bestanden"
"sc_fs_media_ro";"De multimediamap is niet schrijfbaar. Dit is alleen correct indien u Genmod niet gebruikt voor het uploaden van multimediabestanden.<br />Map:"
"sc_fs_media_rw";"Uw multimediamap is schrijfbaar. Dit moet alleen het geval zijn wanneer u Genmod gebruikt om multimediabestanden te uploaden.<br />Map:"
"sc_fs_other";"Andere Genmod-mappen en -bestanden"
"sc_fs_security";"Controle op beveiliging bestandssysteem"
"sc_fthumbsize";"Totale omvang miniatuurafbeeldingen"
"sc_gd";"PHP grafiscbe module"
"sc_gd_missing";"De GD-module van PHP is niet aangetroffen. Sommige onderdelen, zoals het cirkeldiagram, zullen daardoor niet werken. Vraag uw beheerder om deze grafische module toe te voegen aan PHP. "
"sc_ged_displ_unlinked";"Controleer op ongekoppelde personen"
"sc_ged_nounlink";"Geen niet-gekoppelde personen gevonden."
"sc_ged_sets";"Controle op GEDCOM integriteit"
"sc_ged_unlink";"De volgende niet-gekoppelde personen zijn gevonden:"
"sc_ged_unlinked_noselect";"Controle op ongekoppelde personen is niet geselecteerd"
"sc_gedname";"Gedcom:"
"sc_hasno_cits";"De volgende gegevens missen een bronvermelding"
"sc_haswrongfacts";"De volgende gegevens bevatten onbekende GEDCOM-tags:"
"sc_indi";"Persoon:"
"sc_ini_faults";"De volgende verschillen zijn aangetroffen tussen vereiste en werkelijke instellingen van PHP. Vraag uw beheerder om deze instellingen aan te passen."
"sc_ini_name";"PHP INI-instelling:"
"sc_inv_mref";"De volgende personen hebben een referentie naar een niet bestaand multimedia-item:"
"sc_inv_mref_fam";"De volgende gezinnen refereren aan een niet bestaand multimediaobject:"
"sc_inv_mref_file";"De volgende referentie van multimedia-object naar bestand is niet correct:"
"sc_inv_mref_repo";"De volgende bewaarplaatsen hebben een referentie naar een niet bestaand multimedia-item:"
"sc_inv_mref_sour";"De volgende bronnen refereren aan een niet bestaand multimediaobject:"
"sc_inv_noteref";"De volgende gegevens hebben een referentie naar een niet bestaande gedeelde notitie:"
"sc_inv_pointer";"Inconsistente referenties gevonden:"
"sc_inv_rref_sour";"De volgende bronnen refereren aan een niet bestaande bewaarplaats:"
"sc_inv_sref";"De volgende personen hebben een referentie naar een niet bestaande bron:"
"sc_inv_sref_fam";"De volgende gezinnen refereren aan een niet bestaande bron:"
"sc_inv_sref_media";"De volgende multimediaobjecten refereren aan een niet bestaande bron:"
"sc_low_value_found";"Laagste gevonden waarde:"
"sc_media";"Multimedia-item:"
"sc_mem";"PHP-geheugenlimiet"
"sc_mysql";"MySQL-versie"
"sc_mysql_databases";"Verwijder de rechten van de database-user om databases te benaderen anders dan"
"sc_mysql_dbcreate";"Verwijder het recht van de database-gebruiker om databases aan te maken."
"sc_mysql_dbdrop";"Verwijder het recht van de database-gebruiker om databases te verwijderen."
"sc_mysql_low";"Uw MySQL-versie is te laag om Genmod te kunnen uitvoeren. Vraag uw beheerder om een recentere versie te installeren."
"sc_mysql_user";"Minimale MySQL database gebruikersrechten"
"sc_mysql_user_obs";"Overbodige MySQL database gebruikersrechten"
"sc_mysql_users";"Verwijder de rechten van de database-user om de USER-tabel te lezen."
"sc_no_backward_fam";"Gezin heeft geen terugverwijzing naar deze persoon."
"sc_no_backward_indi";"Persoon heeft geen terugverwijzing naar dit gezin."
"sc_no_fam";"Gezin met dit ID bestaat niet voor deze persoon."
"sc_no_indi";"Persoon met dit ID bestaat niet for dit gezin."
"sc_no_inv_point";"Geen inconsistenties tussen personen en gezinnen gevonden."
"sc_nocheck_gedtags";"Controle op onbekende GEDCOM-tags was niet geselecteerd."
"sc_nocits";"Controle op bronvermeldingen was niet geselecteerd"
"sc_noref_sour_repo";"De volgende bronnen refereren niet aan een bewaarplaats:"
"sc_not_set";"Niet ingesteld"
"sc_nowrongfacts";"Geen voor Genmod onbekende GEDCOM-tags gevonden."
"sc_numchecked";"Aantal gecontroleerde bestanden:"
"sc_numpoint_checked";"Aantal gecontroleerde referenties:"
"sc_numrecs_checked";"Gecontroleerd:"
"sc_numrecs_found";"Gevonden:"
"sc_ok";"OK"
"sc_ok_all_file";"Alle referenties van multimedia-items naar fysieke bestanden zijn correct."
"sc_ok_all_mref";"Aan alle multimediaobjecten wordt gerefereerd."
"sc_ok_all_nref";"Aan alle gedeelde notities wordt gerefereerd."
"sc_ok_all_rref";"Aan alle bewaarplaatsen wordt gerefereerd."
"sc_ok_all_sref";"Aan alle bronnen wordt gerefereerd."
"sc_ok_empty_fam";"Alle gezinnen hebben ten minste één gezinslid."
"sc_ok_mref";"Alle referenties van personen naar multimedia-items zijn correct."
"sc_ok_mref_fam";"Alle referenties van gezinnen naar multimedia-items zijn correct."
"sc_ok_mref_repo";"Alle referenties van bewaaarplaatsen naar multimedia-items zijn correct."
"sc_ok_mref_sour";"Alle referenties van bronnen naar multimedia-items zijn correct."
"sc_ok_noteref";"Alle referenties naar gedeelde notities zijn correct."
"sc_ok_order_fam";"De kinderen van alle gezinnen staan in de goede volgorde."
"sc_ok_rref_sour";"Alle referenties van bronnen naar bewaarplaatsen zijn correct."
"sc_ok_sour_repo_ref";"Alle bronnen refereren aan een bewaarplaats."
"sc_ok_sref";"Alle referenties van personen naar bronnen zijn correct."
"sc_ok_sref_fam";"Alle referenties van gezinnen naar bronnen zijn correct."
"sc_ok_sref_media";"Alle referenties van multimedia-items naar bronnen zijn correct."
"sc_ok_use_file";"Aan alle multimediabestanden wordt gerefereerd."
"sc_oldged_actions";"De ToDo-tabel bevat gegevens voor een niet bestaand gedcom-bestand:"
"sc_oldged_blocks";"De tabel blocks bevat records van een niet bestaande GEDCOM:"
"sc_oldged_cache";"De tabel eventcache bevat records van een niet bestaande GEDCOM:"
"sc_oldged_changes";"De tabel changes bevat records van een niet bestaande GEDCOM:"
"sc_oldged_dates";"De tabel dates bevat records van een niet bestaande GEDCOM:"
"sc_oldged_fams";"De tabel families bevat records van een niet bestaande GEDCOM:"
"sc_oldged_favs";"De tabel favorites bevat records van een niet bestaande GEDCOM:"
"sc_oldged_gedconf";"De tabel gedcom-config bevat records van een niet bestaande GEDCOM:"
"sc_oldged_indichild";"De tabel individual-child bevat records van een niet bestaande GEDCOM:"
"sc_oldged_indifamily";"De tabel individual-family bevat records van een niet bestaande GEDCOM:"
"sc_oldged_indis";"De tabel individuals bevat records van een niet bestaande GEDCOM:"
"sc_oldged_indispouse";"De tabel individual-spouse bevat records van een niet bestaande GEDCOM:"
"sc_oldged_log";"De tabel log bevat records van een niet bestaande GEDCOM:"
"sc_oldged_media";"De tabel media bevat records van een niet bestaande GEDCOM:"
"sc_oldged_mediam";"De tabel media-mapping bevat records van een niet bestaande GEDCOM:"
"sc_oldged_names";"De tabel names bevat records van een niet bestaande GEDCOM:"
"sc_oldged_news";"De tabel news bevat records van een niet bestaande GEDCOM:"
"sc_oldged_ok";"Alle GEDCOM-namen en -ID's in de tabellen zijn geldig."
"sc_oldged_other";"De tabel other bevat records van een niet bestaande GEDCOM:"
"sc_oldged_otherm";"De other-mapping tabel bevat gegevens voor een niet bestaand gedcom-bestand:"
"sc_oldged_pl";"De tabel placelinks bevat records van een niet bestaande GEDCOM:"
"sc_oldged_places";"De tabel places bevat records van een niet bestaande GEDCOM:"
"sc_oldged_plot";"De plotcache-tabel bevat gegevens voor een niet bestaand gedcom-bestand:"
"sc_oldged_privacy";"De tabel privacy bevat records van een niet bestaande GEDCOM:"
"sc_oldged_soundex";"De soundex-tabel bevat gegevens voor een niet bestaand gedcom-bestand:"
"sc_oldged_sources";"De tabel sources bevat records van een niet bestaande GEDCOM:"
"sc_oldged_sourcesm";"De tabel source mapping bevat records van een niet bestaande GEDCOM:"
"sc_oldged_stats";"De tabel statscache bevat records van een niet bestaande GEDCOM:"
"sc_oldged_ug";"De tabel users-gedcom bevat records van een niet bestaande GEDCOM:"
"sc_opt_cannot";"Kan de tabellen niet optimaliseren: de database-gebruiker heeft hier geen recht toe."
"sc_opt_tables";"MySQL tabeloptimalisatie"
"sc_opt_tables_done";"Tabellen zijn nu geoptimaliseerd"
"sc_order_fam";"De kinderen van de volgende gezinnen staan wellicht in de verkeerde volgorde:"
"sc_php";"PHP-versie"
"sc_php_ini";"PHP INI-bestand instellingen"
"sc_php_low";"Uw PHP-versie is te laag om Genmod te kunnen uitvoeren. Vraag uw beheerder om een recentere PHP-versie te installeren."
"sc_result";"Resultaat"
"sc_role";"Rol:"
"sc_start";"Start Sanity Check"
"sc_unu_file";"Aan de volgende bestanden wordt niet gerefereerd:"
"sc_unu_mref";"Aan de volgende multimediaobjecten wordt niet gerefereerd:"
"sc_unu_nref";"Er zijn geen referenties naar de volgende gedeelde notities:"
"sc_unu_rref";"Aan de volgende bewaarplaatsen wordt niet gerefereerd:"
"sc_unu_sref";"Aan de volgende bronnen wordt niet gerefereerd:"
"sc_value_found";"Aangetroffen versie:"
"sc_value_req";"Vereiste waarde:"
"sc_ver_found";"Aangetroffen versie:"
"sc_ver_req";"Vereiste versie:"
"sealed_father";"Gezegelde vader"
"sealed_mother";"Gezegelde moeder"
"sealed_parents";"met gezegelde ouders"
"sealing";"Zegeling"
"sealing_brother";"Gezegelde broer"
"sealing_child";"Gezegeld kind"
"sealing_daughter";"Gezegelde dochter"
"sealing_sister";"Gezegelde zus"
"sealing_son";"Gezegelde zoon"
"search";"Zoeken"
"search_DM";"Daitch-Mokotoff"
"search_asso_label";"Relaties"
"search_asso_text";"Toon gerelateerde personen/families"
"search_fams";"Gezinnen"
"search_gedcom";"Doorzoek genealogie(en)"
"search_geds";"Zoek in genealogie"
"search_general";"Tekst zoeken"
"search_indis";"Personen"
"search_inrecs";"Zoek naar"
"search_media";"Multimedia"
"search_more_chars";"Voer meer dan één letter in."
"search_notes";"Gedeelde notities"
"search_options";"Zoekopties"
"search_place";"Locatie"
"search_prtall";"Alle namen"
"search_prthit";"Gevonden namen"
"search_prtnames";"Toon namen<br />van persoon:"
"search_repos";"Bewaarplaatsen"
"search_russell";"Russell"
"search_sorton";"Sorteer resultaten op"
"search_soundex";"Zoeken met Soundex"
"search_soundextype";"Soundex type:"
"search_sources";"Bronnen"
"search_tagfilter";"Zoekfilter:"
"search_tagfoff";"Uit"
"search_tagfon";"Niet-genealogische gegevens uitsluiten"
"search_type";"Zoekmethode"
"search_year";"Jaar"
"searchtype";"Zoektype"
"sec";"sec."
"seconds";"&nbsp;&nbsp;seconden"
"security_no_create";"Beveiligingswaarschuwing: index.php bestaat niet in "
"security_not_exist";"Beveiligingswaarschuwing: kan index.php niet aanmaken in "
"sel_location";"Verplaats naar"
"select";"Selecteer"
"select_all";"Alle selecteren"
"select_an_option";"Selecteer een optie:"
"select_date";"Selecteer een datum"
"select_deselect_all";"Selecteer/deselecteer alle"
"select_fact";"Selecteer een feit...."
"select_gedcom_records";"Selecteer twee ID's om samen te voegen. De gegevens moeten gelijksoortig zijn."
"select_privacyfile_button";"Geselecteerd privacybestand"
"select_report";"Selecteer rapport"
"selected_report";"Geselecteerd rapport"
"send";"Verzenden"
"sending_to";"Bericht wordt verzonden naar #TO_USER#"
"sep";"september"
"servant";"Bediende"
"server_url_note";"Dit behoort de URL naar uw Genmod-map te zijn. Wijzig deze waarde alleen als u de consequenties overziet. Genmod heeft de SERVER_URL samengesteld als #GUESS_URL#."
"set_link";"Maak koppeling"
"sex";"Geslacht"
"show";"Toon"
"show_actions";"Actiepunten"
"show_age";"Toon leeftijdindicator"
