"select_an_option";"Gjør et valg under:"
"current_users";"Aktiverte brukere"
"select";"Velg"
"do_massupdate";"Utfør fler-oppdatering med det valgte"
"mass_update";"Brukerinnstillinger for fler-oppdatering"
"mu_users";"Brukere som skal oppdateres"
"mu_options";"Valg som skal endres"
"mu_descr";"Beskrivelse"
"mu_new_value";"Velg en ny verdi"
"leave_blank";"La feltet for passord være tomt, hvis du vil bevare det eksisterende passordet."
"other_theme";"Annet, vennligst tast inn"
"performing_update";"Oppdaterer."
"config_file_read";"Config-fil lest inn."
"does_not_exist";"eksisterer ikke"
"media_drive_letter";"Stien til Medier bør ikke inneholde en stasjons-bokstav, fordi da vil kanskje ikke Medier bli vist."
"gm_config_write_error";"Feil!!! Kan ikke skrive til konfigurasjonsfilen til Genmod. Sjekk fil- og katalog-rettigheter og prøv igjen."
"db_setup_bad";"Det er feil i innstillingene til databasen din.  Sjekk de ulike valgene for oppkobling til databasen og gjør nødvendige endringere."
"bad_host_user_pass";"Genmod klarte ikke å opprette en forbindelse til verten til databasen din. Sjekk at du har angitt rett navn på vert, brukernavn og passord."
"bad_database_name";"Genmod greide å opprette en forbindelse til verten til databasen din, men fikk ikke tillatelse til å bruke databasen med det navnet du oppgav.  Sjekk at databasen finnes og at brukernavnet du oppgav har de nødvendige rettigheter i denne databasen."
"click_here_to_continue";"Klikk her for å fortsette."
"mysql";"MySQL"
"db";"Database"
"admin_gedcoms";"Klikk her for å gå til administrasjon av Slektsfil(er) og personvern"
"current_gedcoms";"Aktive slektsfiler (GED)"
"gedcom_adm_head";"Oppsett for slekts- / GEDCOM-fil"
"ged_download";"Last ned (download)"
"ged_gedcom";"GEDCOMfil"
"ged_title";"Tittel til Slektsbasen"
"ged_config";"Konfigurasjonsfil"
"ged_search";"Søke-logg-filer"
"ged_change";"Endringslogg-filer"
"ged_privacy";"Personvernfil"
"show_phpinfo";"Vis info om PHP"
"confirm_gedcom_delete";"Er du sikker på at du vil slette GEDCOMfilen:"
"gregorian";"Gregoriansk"
"julian";"Juliansk"
"config_french";"Fransk"
"jewish";"Jødisk"
"config_hebrew";"Hebraisk"
"jewish_and_gregorian";"Jødisk og Gregoriansk"
"hebrew_and_gregorian";"Hebraisk og Gregoriansk"
"hijri";"Hijri"
"arabic_cal";"Arabisk"
"disabled";"Ikke valgt"
"mouseover";"Ved å føre musen over"
"mousedown";"Ved å holde museknappen inne"
"click";"Ved å klikke med musen"
"mailto";"Besøkende sitt eget e-post-program"
"messaging";"Genmod interne beskjeder"
"messaging2";"Genmod interne beskjeder med e-post-kopi"
"messaging3";"Genmod ekstern e-post"
"no_messaging";"Ingen kontaktlink"
"no_logs";"Ingen logging"
"daily";"Daglig"
"weekly";"Ukentlig"
"monthly";"Månedlig"
"yearly";"Årlig"
"enter_db_pass";"På grunn av hensyn til sikkerhet må du skrive inn brukernavnet og passordet ditt for databasen for å endre konfigurasjon-verdiene."
"config_still_writable";"Filen <i>config.php</i> er fremdeles skrivbar !<br />Dersom du er ferdig med å konfigurere siden din,<br />bør du av hensyn til sikkerheten, sette rettighetene til denne filen tilbake til <i>kun</i> lesbar!"
"admin_verification_waiting";"Brukerkonto(er) på vent for godkjenning av admin"
"admin_user_warnings";"En eller flere brukerkontoer har advarsler"
"DEFAULT_GEDCOM";"Standard slektsbase "
"privileges";"Rettigheter"
"date_registered";"Dato registert"
"last_login";"Sist logget inn"
"normal";"Alle nyheter"
"urgent";"Viktige nyheter"
"server_url_note";"Dette bør være URLen til din Genmod mappe/katalog.  Du bør bare endre dette valget dersom du er sikker på hva du gjør.  Genmod har sjekket ut at din SERVER_URL bør være #GUESS_URL#"
"DBHOST";"Database-vert"
"DBUSER";"Database-brukernavn"
"DBPASS";"Database-passord"
"DBNAME";"Database-navn"
"TBLPREFIX";"Database Table Prefiks"
"ALLOW_CHANGE_GEDCOM";"Tillat bytting av slektsbaser"
"upload_path";"Sti ved opplastning (upload)"
"gedcom_path";"Sti og navn til GEDCOM-filen"
"CHARACTER_SET";"Tegnsett"
"LANGUAGE";"Språk"
"ENABLE_MULTI_LANGUAGE";"Tillat brukere å skifte språk"
"LANGUAGE_DEFAULT";"Du har ikke angitt språkene som nettstedet ditt skal støtte.<br />Genmod vil derfor bruke standard oppsett."
"CALENDAR_FORMAT";"Format på kalender"
"DISPLAY_JEWISH_THOUSANDS";"Vis hebraiske tusentall"
"DISPLAY_JEWISH_GERESHAYIM";"Vis hebraisk Geyrshayim"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jødisk Ashkenazi uttale"
"USE_RTL_FUNCTIONS";"Bruk RTL sjekking"
"DEFAULT_PEDIGREE_GENERATIONS";"Antall generasjoner i diagram / trær"
"MAX_PEDIGREE_GENERATIONS";"Maks generasjoner for aner/forfedre"
"MAX_DESCENDANCY_GENERATIONS";"Maks generasjoner for etterkommere"
"USE_RIN";"Bruk RIN# istedenfor GEDCOM ID"
"PEDIGREE_ROOT_ID";"Standard hovedID i slektsdiagram"
"GEDCOM_ID_PREFIX";"GEDCOM ID prefiks"
"SOURCE_ID_PREFIX";"Kilde&nbsp;ID prefiks"
"REPO_ID_PREFIX";"Oppbevaringssted&nbsp;ID prefiks"
"PEDIGREE_FULL_DETAILS";"Vise detaljer om fødsel og død i diagram / trær"
"PEDIGREE_LAYOUT";"Standard layout for diagram"
"SHOW_EMPTY_BOXES";"Vis tomme bokser i diagram"
"ZOOM_BOXES";"Endre størrelse på diagrambokser"
"LINK_ICONS";"Ikon for "undermeny" i diagrambokser"
"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"SHOW_PARENTS_AGE";"Vis alder til foreldre ved siden av fødselsdatoen til barna"
"SHOW_RELATIVES_EVENTS";"Vis fødseldag og dødsdag for slektninger på faktasiden til personer"
"EXPAND_RELATIVES_EVENTS";"Utvid automatisk listen med hendelser"
"HIDE_LIVE_PEOPLE";"Aktivere <b>personvern</b>"
"REQUIRE_AUTHENTICATION";"Krev at besøkende<br /><b>MÅ</b> logge inn"
"WELCOME_TEXT_AUTH_MODE";"Velkomsttekst<br />på siden for å logge inn<br />hvis "Krev logg inn" = Ja"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Forhåndsdefinert tekst som sier at ALLE besøkende kan søke om en brukerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Forhåndsdefinert tekst som sier at ADMIN vil vurdere en eventuell søknad om brukerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Forhåndsdefinert tekst som sier at BARE familiemedlemmer kan søke om en brukerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Egenkomponert velkomsttekst skrevet i feltet under"
"WELCOME_TEXT_AUTH_MODE_CUST";"Egenkomponert velkomsttekst for<br />"Krev logg inn" = Ja"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard start for egenkomponert tekst"
"CHECK_CHILD_DATES";"Sjekk datoer til barn"
"MAX_ALIVE_AGE";"Antatt maks levetid for en person"
"SHOW_GEDCOM_RECORD";"Tillat brukere å se GEDCOM poster"
"ALLOW_EDIT_GEDCOM";"Aktivere online-redigering"
"EDIT_AUTOCLOSE";"Lukk automatisk vindu for redigering"
"INDEX_DIRECTORY";"Mappe for indekseringsfil"
"POSTAL_CODE";"Plassering av postnummer"
"ALPHA_INDEX_LISTS";"Del opp lange lister etter etternavnenes første bokstav"
"SHOW_ID_NUMBERS";"Vis ID-nummer etter navn"
"SHOW_FAM_ID_NUMBERS";"Vis ID nummeret etter familier"
"SHOW_PEDIGREE_PLACES";"Stedsnavnsnivåer som vises i personboksene:"
"MEDIA_EXTERNAL";"Behold URL-linker"
"MEDIA_DIRECTORY";"Mappe for Multimedia"
"MEDIA_DIRECTORY_LEVELS";"Antall mappenivåer for multimedia"
"SHOW_HIGHLIGHT_IMAGES";"Vis hovedbildet i rammen til en person"
"USE_THUMBS_MAIN";"Bruk passfoto som hovedbilde på faktasiden til personer"
"ENABLE_CLIPPINGS_CART";"Aktivere utklippsmappen"
"HIDE_GEDCOM_ERRORS";"Skjul GEDCOM feilmeldinger"
"WORD_WRAPPED_NOTES";"Legg til mellomrom<br />der linjer er delt"
"DAYS_TO_SHOW_LIMIT";"Antall dager for rammen Kommende hendelser"
"COMMON_NAMES_THRESHOLD";"Antall ganger et etternavn<br />må finnes for å vises i<br /><i>Mest brukte etternavn</i>"
"COMMON_NAMES_ADD";"Legg til følgende etternavn i listen <i>Mest brukte etternavn</i> (komma-separert)"
"COMMON_NAMES_REMOVE";"Fjern følgende etternavn i listen <i>Mest brukte etternavn</i> (komma-separert)"
"HOME_SITE_URL";"URL til hjemmesiden din"
"HOME_SITE_TEXT";"Tittelen på hjemmesiden din"
"CONTACT_EMAIL";"Kontaktperson for slektsspørsmål"
"CONTACT_METHOD";"Kontaktmåte (slekt)"
"WEBMASTER_EMAIL";"Kontaktperson for teknisk hjelp"
"SUPPORT_METHOD";"Kontaktmåte (tekn.)"
"FAVICON";"Mappe til favoritt-ikon"
"THEME_DIR";"Tema og mappe"
"PHP_TIME_LIMIT";"PHP tidsgrense"
"GM_SESSION_SAVE_PATH";"Logg-lagrings-sti"
"SERVER_URL";"Genmod URL"
"LOGIN_URL";"Logg inn URL"
"GM_SESSION_TIME";"Logg-inn timeout"
"SHOW_STATS";"Vis utførings-statistikk"
"SHOW_COUNTER";"Vis Antall treff"
"USE_REGISTRATION_MODULE";"Gir besøkende muligheten til å be om en brukerkonto"
"ALLOW_USER_THEMES";"Tillat brukere å velge<br />deres egen stil"
"GM_SIMPLE_MAIL";"Bruk enkel epost-hode i eksterne epost-meldinger"
"gedcom_title";"#gm_lang[ged_title]#"
"LOGFILE_CREATE";"Arkiver logfiler"
"GM_MEMORY_LIMIT";"Maks Minnegrense"
"GM_STORE_MESSAGES";"Tillat at beskjeder<br />blir lagret online"
"ALLOW_THEME_DROPDOWN";"Vis valgfelt for å bytte Stil"
"MAX_VIEW_RATE";"Vis maks antall sider"
"page_views";"&nbsp;&nbsp;sider vist i&nbsp;&nbsp;"
"seconds";"&nbsp;&nbsp;sekunder"
"META_AUTHOR";"META tag: Forfatter"
"META_AUTHOR_descr";"La feltet være tomt for å bruke det fulle navnet til slektsbasens kontaktperson."
"META_PUBLISHER";"META tag: Utgiver"
"META_PUBLISHER_descr";"La feltet være tomt for å bruke det fulle navnet til slektsbasens kontaktperson."
"META_COPYRIGHT";"META tag: Opphavsrett"
"META_COPYRIGHT_descr";"La feltet være tomt for å bruke det fulle navnet til slektsbasens kontaktperson."
"META_DESCRIPTION";"META tag: Beskrivelse"
"META_DESCRIPTION_descr";"La feltet være tomt for å bruke titlen til den aktive slektsbasen."
"META_PAGE_TOPIC";"META tag: Sjanger (topic)"
"META_PAGE_TOPIC_descr";"La feltet være tomt for å bruke titlen til den aktive slektsbasen."
"META_AUDIENCE";"META tag: Målgruppe"
"META_PAGE_TYPE";"META tag: Type side"
"META_ROBOTS";"META tag: Roboter"
"META_REVISIT";"META tag: Hvor ofte bør/skal søkeroboter sjekke nettstedet"
"META_KEYWORDS";"META tag: Nøkkelord"
"META_SURNAME_KEYWORDS";"Legg til Mest brukte etternavn til nøkkelord META feltet"
"META_TITLE";"META tag: Tillegg i Tittel"
"RSS_FORMAT";"Format for RSS"
"NEWS_TYPE";"Type Genmod-nyhet som skal vises på Admin-siden"
"welcome_new";"Velkommen til din nye nettsted med Genmod."
"welcome_new2";"Ettersom du kan se denne siden, har du lykkes med å installere Genmod på nettstedet ditt,<br />og kan nå fortsette med å konfigurere Genmod etter dine ønsker.<br />"
"review_readme";"Du bør lese gjennom tekstfilen <a href="readme.txt" target="_blank">readme.txt</a> før du fortsetter med å konfigurere Genmod.<br /><br />"
"return_editconfig";"Du kan gå tilbake til denne siden for konfigurasjon ved å klikke på linken <b>Program-innstillinger</b> på siden for <b>Administrasjon</b>,<br />eller ved å angi filen configure.php i adresselinjen i nettleseren din.<br />"
"return_editconfig_gedcom";"Du kan gå tilbake til denne siden for konfigurasjon ved å klikke på linken <b>Endre</b> i tabellen <b>Aktive slektsfiler (GED)</b><br />på siden for administrasjon av <b>Slektsfil(er) og personvern</b>, eller ved å angi filen editconfig_gedcom.php i adresselinjen i nettleseren din.<br />"
"save_config";"Lagre konfigurasjon"
"download_here";"Klikk her for å laste ned fil (download)."
"download_gedconf";"Last ned (download) GEDCOM konfigurasjon."
"not_writable";"Det har vist seg at PHP ikke kan skrive til konfigurasjonsfilen. Du kan derfor bruke "Last ned"-knappen til lagre innstillingene dine i en fil, som du etterpå henter (upload) manuelt."
"download_file";"Last ned (download) fil"
"upload_to_index";"Hent (upload) filen til din index-katalog:"
"import_sql";"SQL-filer er funnet i katalogen index. Siden det er sannsynlig at de stammer fra Overførings-verktøyet, kan du velge å importere informasjonen inn i databasen din. Ønsker du å importere disse filen inn i databasen nå?<br />NB! All eksisterende bruker-relaterte informasjon (brukere, nyheter, favoritter, oppsett for rammer og beskjeder) vil bli overskrevet!<br /><br />Dersom du ønsker å fortsette, vil Genmod prøve å importere dataene. Dersom det skulle vise seg å ikke gå, så vil du uansett få valget om å opprette den første administrator-kontoen.<br /><br />"
"edit_privacy";"Endre personvernfilen"
"edit_privacy_title";"Endre slektsbasens personvern-innstillinger"
"PRIV_PUBLIC";"Vis til alle"
"PRIV_USER";"Vis kun til godkjente brukere"
"PRIV_NONE";"Vis kun til administratorer"
"PRIV_HIDE";"Skjul selv for administrative brukere"
"save_changed_settings";"Lagre endringer"
"add_new_pp_setting";"Legg til ny personvern-innstilling for person"
"add_new_up_setting";"Legg til ny personvern-innstilling for bruker"
"add_new_gf_setting";"Legg til ny personvern-innstilling for generelle fakta"
"add_new_pf_setting";"Legg til ny personvern-innstilling for fakta"
"add_new_pf_setting_indi";"Legg til ny personvern-innstilling for fakta knyttet til personer"
"add_new_pf_setting_source";"Legg til ny personvern-innstilling for fakta knyttet til kilder"
"privacy_indi_id";"Person-ID"
"privacy_source_id";"Kilde-ID"
"privacy_indi_source";"Person / Kilde"
"privacy_indi";"Person"
"privacy_source";"Kilde"
"file_read_error";"F E I L !!! Personvernfilen kunne ikke leses!"
"edit_exist_person_privacy_settings";"Rediger eksisterende innstillinger for personer"
"edit_exist_user_privacy_settings";"Rediger eksisterende innstillinger for bruker"
"edit_exist_global_facts_settings";"Rediger eksisterende innstillinger for generelle fakta"
"edit_exist_person_facts_settings";"Rediger eksisterende innstillinger for fakta knyttet til personer"
"general_privacy";"Standard innstillinger for personvern"
"person_privacy";"Personvern-innstillinger for personer"
"user_privacy";"Personvern-innstillinger for brukere"
"global_facts";"Personvern-innstillinger for generelle fakta"
"person_facts";"Personvern-innstillinger for personlige Fakta"
"accessible_by";"Vis til ?"
"hide";"Skjul"
"show_question";"Vis ?"
"user_name";"Brukernavn"
"name_of_fact";"Navn på fakta"
"choice";"Valg"
"fact_show";"Vis fakta"
"fact_details";"Vis detaljerte fakta"
"privacy_header";"Rediger personvern-innstillinger innenfra"
"unable_to_find_privacy_indi";"Kan ikke finne person med ID "
"save_and_import";"Etter at du har lagret denne GEDCOM konfigurasjon er det nødvendigt å importere GEDCOM ved å klikke på knappen <b>Importer GEDCOM</b> eller fra <b>Administrasjon->Slektsfil(er) og personvern->Importer GEDCOM</b>"
"help_info";"Du kan få hjelp i hver enhet ved å klikke på det røde "?" ved ledeteksten ut for hvert felt."
"SHOW_LIVING_NAMES";"Vis navn til nålevende"
"SHOW_RESEARCH_LOG";"Vis forsknings-logg"
"USE_RELATIONSHIP_PRIVACY";"Bruk personvern på slektskap"
"MAX_RELATION_PATH_LENGTH";"Maks steglengde for slektskap"
"CHECK_MARRIAGE_RELATIONS";"Sjekk ekteskapsbånd"
"SHOW_DEAD_PEOPLE";"Vis døde personer"
"select_privacyfile_button";"Velg personvern-fil"
"PRIVACY_BY_YEAR";"Begrens personvern utfra dato i hendelse"
"enable_disable_lang";"Konfigurere støttede språk"
"translator_tools";"Verktøy for å oversette"
"edit_langdiff";"Språk / oversettelser"
"bom_check";"Sjekk av språkfilene (BOM)"
"bom_check_desc";"Dette valget vil sjekke alle språkfilene om koden BOM (Byte Order Mark) finnes i filene. Disse tegnene som noen tekstbehandlere legger skjult i begynnelsen av filen, vil gjøre at PHP vise en feilmelding på toppen av hver side...<br />Dersom koden blir funnet, vil den bli fjernet."
"lang_debug";"Feilsøking-informasjon i hjelptekster"
"lang_debug_desc";"Når du aktivert dette valget, vil navnene til språk-variablene brukt i hjelpeteksten vises sammen med teksten i hjelpeviduet.<br />Dette kan hjelpe oversettere å finne det rette variabel-navnet som skal endres.<br /><br />Denne innstillingen vil ikke være aktivert neste gang du logger deg inn i Genmod."
"lang_debug_use";"Bruk valget Feilsøking-informasjon i hjelpetekster"
"bom_not_found";"Ingen BOM koder ble funnet."
"bom_found";"BOM koden ble funnet i "
"edit_lang_utility";"Endre språk-fil"
"edit_lang_utility_desc";"Her kan du endre innholdet av en språk-fil ved å bruke den engelske teksten som referanse.<br />Innholdet av den originale engelske språk-filen vil bli listet opp sammen med teksten i ditt valgte språk.<br />Ved å klikke på en tekst i språkfilen din, vil et nytt vindu åpnes der du kan gjøre endringer i teksten."
"language_to_edit";"Språk som skal endre"
"file_to_edit";"Språkfil som skal endres"
"check";"Sjekk"
"lang_save";"Lagre"
"contents";"Innhold"
"listing";"Vis liste"
"no_content";"Ikke noe innhold"
"editlang";"Endre"
"savelang";"Lagre"
"original_message";"Original tekst"
"message_to_edit";"Tekst som skal endres"
"changed_message";"Endre innhold"
"message_empty_warning";"-> Advarsel!!! Dette beskjedfeltet er tomt [#LANGUAGE_FILE#] <-"
"language_to_export";"Eksportere språk"
"export_lang_utility";"Eksport av språk-fil"
"export";"Eksporter"
"export_lang_utility_desc";"Her kan du velge et språk og eksportere innholdet i hjelpe-tekst for konfigurasjon av Genmod<br />for å lage en dokumentasjon (i HTML-format) for programmet på det valgte språket."
"export_ok";"Hjelpetekstene er eksportert"
"compare_lang_utility";"Sammenligne språk-filer"
"compare_lang_utility_desc";"Her kan du sammenligne to språk og få en liste med hva som er forskjellen mellom de ulike språk-filene.<br /><br />Se filen [<a href="languages\/LANG_CHANGELOG.txt" target="_blank">LANG_CHANGELOG.txt</a>] for andre endringer av språk-filer. Den engelske språkfilene er originalspråket og oversettelser må ta utgangspunkt i disse."
"new_language";"Språk i kildefilene"
"old_language";"Språk i de andre"
"compare";"Sammenlign"
"comparing";"Språk-filene som er sammenlignet"
"additions";"Tillegg"
"no_additions";"Ikke noen tillegg"
"subtractions";"Fjernet (ikke i bruk lenger)"
"no_subtractions";"Ingen fjernet"
"config_lang_utility";"Støttede språk"
"active";"Aktiv"
"edit_settings";"Endre innstillinger"
"lang_edit";"Endre"
"lang_language";"Språk"
"export_filename";"Navn på filen som inneholder eksport data:"
"lang_back";"Gå tilbake til hovedmenyen for å endre og konfigurere språk-filer"
"lang_back_admin";"Tilbake til Admin-meny"
"lang_back_manage_gedcoms";"Gå tilbake til siden til Slektsfil(er) og personvern"
"lang_name_czech";"Tsjekkisk"
"lang_name_chinese";"Kinesisk"
"lang_name_danish";"Dansk"
"lang_name_dutch";"Nederlandsk"
"lang_name_english";"Engelsk"
"lang_name_finnish";"Finsk"
"lang_name_french";"Fransk"
"lang_name_german";"Tysk"
"lang_name_hebrew";"Hebraisk"
"lang_name_hungarian";"Ungarsk"
"lang_name_italian";"Italiensk"
"lang_name_norwegian";"Norsk"
"lang_name_polish";"Polsk"
"lang_name_portuguese";"Portugisisk"
"lang_name_portuguese_br";"Brasiliansk Portugisisk"
"lang_name_russian";"Russisk"
"lang_name_spanish";"Spansk"
"lang_name_spanish_ar";"Latin-amerikansk spansk"
"lang_name_swedish";"Svensk"
"lang_name_turkish";"Tyrkisk"
"lang_name_greek";"Gresk"
"lang_name_arabic";"Arabisk"
"lang_name_lithuanian";"Litauisk"
"lang_name_vietnamese";"Vietnamesisk"
"lang_new_language";"Nytt språk"
"original_lang_name";"Original-navn til #D_LANGNAME#"
"lang_shortcut";"Kort-navn for språk-filer"
"lang_langcode";"Kode(r) for gjennkjenning av språk"
"lang_filenames";"Navn på språk-filer"
"flagsfile";"Navn på flagg-bildefil"
"text_direction";"Tekst-retning"
"date_format";"Dato-format"
"time_format";"Tid-format"
"week_start";"Uke-start"
"name_reverse";"Etternavn først"
"ltr";"Venstre til høyre"
"rtl";"Høyre til venstre"
"file_does_not_exist";"FEIL! Finner ikke filen..."
"alphabet_upper";"STORE bokstaver alfabetisk"
"alphabet_lower";"Små bokstaver alfabetisk"
"lang_config_write_error";"Feil ved skriving av språkets innstillinger til filen [language_settings.php]. Sjekk rettigheter og prøv igjen."
"translation_forum";"Forum for oversettere av Genmod"
"translation_forum_desc";"<center>På nettstedet til Genmod på SourceForge.net er det et <a href="http://sourceforge.net/forum/forum.php?forum_id=294245" alt="Gå til forum i nytt vindu" title="Gå til forum i nytt vindu" target=_blank><b><i>Forum for oversettere</i></b></a><br />der du kan se på og/eller bidra med aktuelle problemstillinger   :-)</center>"
"system_time";"Gjeldende systemtid:"
"gedcom_not_imported";"Denne GEDCOM-filen er ikke blitt importet enda."
"lang_set_file_read_error";"F E I L !!! Klarte ikke å lese filen [language_settings.php]!"
"add_new_language";"Legg til filer og oppsett for et nytt språk"
"add_new_language_desc";"Du kan bruke dette verktøyet til å legge til et nytt og enda ikke støttet språk for Genmod.<br /><br />Du starter med å legge inn standardinnstillinger for det nye språket slik som skråkkoder, ukestart, datoformat, nasjonalt alfabet mm.<br /><br />Du vil få mer hjelp til dette på et språk som du velger blant de som allerede støttes av Genmod etter å ha klikket på knappen <b>#gm_lang[add_new_lang_button]#</b>.<br />"
"add_new_lang_button";"Legg til nytt språk"
"hide_translated";"Skjul oversatt tekst"
"lang_file_write_error";"F E I L !!!<br /><br />Klarte ikke å lagre endringer i den valgte språkfilen!<br />Sjekk rettighetene til å skrive til (#lang_filename#)"
"no_open";"F E I L !!!<br /><br />Klarte ikke å åpne filen #lang_filename#"
"never";"Aldri"
"users_total";"Totalt antall brukere"
"users_admin";"Administratorer til nettstedet"
"users_unver";"Ikke bekreftet av bruker"
"users_unver_admin";"Ikke bekreftet av administrator"
"users_langs";"Språkene til brukere"
"warn_users";"Brukere med advarsler"
"users_gedadmin";"Administratorer til slektsfilen"
"cleanup_users";"Rydd opp i brukere"
"usr_no_cleanup";"Fant ikke noe å rydde"
"back_useradmin";"Tilbake til Brukere og rettigheter"
"del_proceed";"Fortsette"
"del_unveru";"Brukeren bekreftet ikke innen 7 dager."
"del_unvera";"Bruker ikke godkjent av administrator."
"del_gedrights";"Slektsbasen er ikke aktiv lengre. Fjern rettighetene til brukeren."
"usr_idle";"Antall måneder en bruker kan la vær å logge seg inn før brukerkontoen ansees som inaktiv: "
"usr_idle_toolong";"Kontoen til brukeren har vært inaktiv for lenge: "
"usr_unset_rights";"Fjern rettigheter til slektsfilen for "
"usr_unset_rootid";"Fjern hovedID for "
"usr_unset_gedcomid";"Fjern slektsfilID for "
"usr_deleted";"Slettet user: "
"configured_languages";"Språk brukt"
"message_to_all";"Send beskjed til alle brukere"
"ip_address";"IP-adresse"
"date_time";"Dato og tid"
"searchtype";"Søketype"
"query";"Spørring"
"syslog";"System-logg"
"show_last";"Vis siste"
"show_events";"Vis hendelser"
"error";"Beskjed om feil"
"warning";"Beskjed om advarsel"
"information";"Informasjon-beskjed"
"view_syslog";"Vis system-logg"
"view_gedlog";"Vis slektsbase-logg"
"view_searchlog";"Vis søke-logg"
"cleanup_older";"Rydd opp for eldre enn"
"cleanup_success";"Opprydding gjennomført"
"cleanup_failed";"Klarte ikke å rydde opp"
"export_log";"Eksporter logg-oppføringer"
"genmodnews";"Genmod-nyheter"
"um_header";"Verktøy for konvertering til annen database"
"um_proceed";"Starte eksport av datafilene om brukeren?<br /><br />"
"um_creating";"Oppretter"
"um_sql_index";"Dette verktøyet vil lage filen <i>authenticate.php</i> og flere andre <i>.dat</i> filer i index-mappen din.<br /><br />Etter at filene er opprettet, kan du bytte til Index-database med alle registrerte brukere og bekjeden deres, favoritter, nyheter og MyGedview layout inntakt.<br /><br />NB! Etter at du har byttet til Index-database, må du importere GEDCOM-fil(ene) på nytt.<br /><br />"
"um_file_create_fail1";"Klarte ikke å opprette filen fordi en fil med samme navn finnes fra før:"
"um_file_create_fail2";"Klarte ikke å opprette filen"
"um_file_create_fail3";"Sjekk rettighetene for å opprette en fil i denne katalogen."
"um_file_create_succ1";"Den nye filen er lagret:"
"um_file_not_created";"Filen ble ikke lagd."
"um_nomsg";"Kunne ikke finne noen "Beskjeder" lagret i systemet."
"um_nofav";"Kunne ikke finne noen "Favoritter" lagret i systemet."
"um_nonews";"Kunne ikke finne noen "Nyheter" lagret i systemet."
"um_noblocks";"Kunne ikke finne noen "Rammer" lagret i systemet."
"um_index_sql";"Dette verktøyet vil importere filen <i>authenticate.php</i> og andre <i>.dat</i> filer fra index-mappen din inn i databasen din.<br />"
"um_noaction";"Det er ikke nødvendig å konvertere bruker-informasjon til SQL-modus nå.<br /><br />Når du har forandret oppsett til SQL-modus, må du imidlertid utføre konverteringen for å importere alle data inn i SQL-databasen.  Genmod da bruke de eksisterende filene fra Index-modus.<br /><br /><b>PS! <u>Ikke</u> fjerne filen <i>authenticate.php</i> og <i>.dat</i> filene fra index-mappen din under bytte-prosessen.</b><br />"
"um_import";"Import"
"um_export";"Eksport"
"um_explain";"Dette verktøyet vil enten eksportere brukerdata fra SQL til Index-modus eller importere brukerdata fra Index-filer inn i SQL-tabeller.<br /><br />Brukerdata, favoritter, ramme-definisjoner, beskjeder og nyheter vil bli gjort tilgjengelig igjen etter at du har byttet modus.<br /><br /><b>ADVARSEL</b><br />Du kan ikke bruke dette verktøyet til å overføre brukerdata mellom ulike versjoner av Genmod.  Forsikre deg om at dataene stammer fra, eller er importert inn i den samme Genmod-versjonen.<br /><br /><b>IMPORTERE</b><br />Dersom du velger å importere brukerdata-filene fra Index-modus, vil eventuelle brukerdata som finnes fra før, bli <u>overskrevet</u>. Med andre ord så fletter <u>ikke</u> dette verktøyet informasjonen, men legger inn informasjonen på nytt. Når du er ferdig med importen, så er det ikke mulig å hente den gamle informasjonen igjen.<br /><br /><b>EKSPORTERE</b><br />Dersom du eksporterer brukerinformasjonen fra SQL-databasen din til Index-modu-filer, vil verktøyet lagre filen <i>authenticate.php</i> og flere <i>.dat</i> filer i index-mappen din. Dersom det finnes filer med samme navn fra før, vil du bli spurt om de skal overskrives. Etter at du har byttet til Index-modus, vil all informasjon være tilgjengelig direkte.<br /><br /><b>NB!</b> Etter at du har byttet til Index-modus, MÅ du importere GEDCOM-fil(ene) dine på nytt.<br /><br />"
"um_imp_users";"Importerer brukere"
"um_imp_blocks";"Importerer rammer"
"um_imp_favorites";"Importerer favoritter"
"um_imp_messages";"Importerer beskjeder"
"um_imp_news";"Importerer nyheter"
"um_nousers";"Fant ikke filen <i>authenticate.php</i> katalogen ./index. Overføringen er avbrutt."
"um_imp_succ";"Importen er utført"
"um_imp_fail";"Importen ble ikke fullført"
"um_backup";"Sikkerhetskopi"
"um_restore";"Gjenopprett"
"um_zip_succ";"ZIP-fil er nå lagd."
"um_zip_dl";"Hent ZIPet sikkerhetskopi-fil "
"um_bu_explain";"Her kan du lage en sikkerhetskopi av forskjellige data i Genmod.<br /><br />Dataene som du velger å ta sikkerhetskopi av, vil bli samlet i en ZIP-fil,<br />som det også er mulig å laste ned (download) ved å klikke på valget nederst på siden, etter at sikkerhetskopieringen er utført.<br /><br />ZIP-filen vil forbli i Index-mappen din til du fjerner den manuellt."
"um_bu_config";"Genmod konfigurasjonsfil"
"um_bu_gedcoms";"GEDCOM-filer"
"um_bu_gedsets";"GEDCOM-innstillinger, konfigurasjon og personvern-filer"
