"stat_sources";"Quellen, "
"message_to_edit";"Zu ändernder Inhalt"
"changed_message";"Geänderter Inhalt"
"message_empty_warning";"-&gt; Achtung!!! Diese Nachricht ist in der Datei [#LANGUAGE_FILE#] leer &lt;-"
"language_to_export";"Zu exportierende Sprache"
"export_lang_utility";"Exportmodul für Sprach-Dateien"
"export";"Exportieren"
"export_ok";"Die Hilfetexte wurden exportiert"
"compare_lang_utility";"Vergleichsmodul für Sprach-Dateien"
"new_language";"Referenz-Sprache"
"old_language";"Zweite Sprache"
"compare";"Vergleichen"
"comparing";"Die Sprach-Dateien werden verglichen"
"additions";"Ergänzungen"
"no_additions";"Keine Ergänzungen"
"subtractions";"Entfernte Teile"
"no_subtractions";"Keine entfernten Teile"
"config_lang_utility";"Konfiguration der unterstützten Sprachen"
"active";"Aktiviert"
"edit_settings";"Einstellungen bearbeiten"
"lang_edit";"Bearbeiten"
"lang_language";"Sprache"
"export_filename";"Name der Datei, welche die exportierten Daten enthält:"
"lang_back";"Zurück zum Hauptmenu, um die Sprach-Dateien zu bearbeiten und zu konfigurieren"
"lang_back_admin";"Zurück zum Verwaltungsmenü"
"lang_back_manage_gedcoms";"Zurück zum GEDCOM Management Menü"
"lang_name_czech";"Tschechisch"
"lang_name_chinese";"Chinesisch"
"lang_name_danish";"Dänisch"
"lang_name_dutch";"Holländisch"
"lang_name_english";"Englisch"
"lang_name_finnish";"Finnisch"
"lang_name_french";"Französisch"
"lang_name_german";"Deutsch"
"lang_name_hebrew";"Hebräisch"
"lang_name_hungarian";"Ungarisch"
"lang_name_italian";"Italienisch"
"lang_name_norwegian";"Norwegisch"
"lang_name_polish";"Polnisch"
"lang_name_portuguese";"Portugiesisch"
"lang_name_portuguese_br";"Portugiesisch (Brasilien)"
"lang_name_russian";"Russisch"
"lang_name_spanish";"Spanisch"
"lang_name_spanish_ar";"Spanisch (Latein-Amerika)"
"lang_name_swedish";"Schwedisch"
"lang_name_turkish";"Türkisch"
"lang_name_greek";"Griechisch"
"lang_name_arabic";"Arabisch"
"lang_new_language";"Neue Sprache"
"original_lang_name";"Original-Name der Sprache auf #D_LANGNAME#"
"lang_shortcut";"Abkürzung für Sprachdateien"
"lang_langcode";"Sprachen Kenncodes"
"flagsfile";"Flaggendatei"
"text_direction";"Schreibrichtung"
"date_format";"Datums Format:"
"time_format";"Uhrzeitformat"
"week_start";"1. Tag der Woche"
"name_reverse";"Nachname zuerst"
"ltr";"Links nach rechts"
"rtl";"Rechts nach links"
"file_does_not_exist";"FEHLER! Diese Datei existiert nicht..."
"alphabet_upper";"Alphabet Großbuchstaben"
"alphabet_lower";"Alphabet Kleinbuchstaben"
"lang_config_write_error";"Fehler beim Versuch, die Spracheinstellungen in die Datei [language_settings.php] zu schreiben. Prüfen Sie die Zugriffsrechte und probieren Sie es erneut."
"translation_forum";"Link zum Genmod Übersetzungs-Forum bei SourceForge.net"
"system_time";"Aktuelle System-Zeit:"
"gedcom_not_imported";"Diese GEDCOM-Datei wurde noch nicht importiert."
"lang_set_file_read_error";"F E H L E R !!! Die Datei [language_settings.php] konnte nicht gelesen werden!"
"add_new_language";"Dateien und Einstellungen für eine neue Sprache hinzufügen"
"add_new_lang_button";"Neue Sprache hinzufügen"
"hide_translated";"Übersetzte verstecken"
"lang_file_write_error";"F E H L E R !!!<br /><br />Die Änderungen können nicht in die gewählte Sprachdatei geschrieben werden!<br />Prüfen Sie die Schreibrechte für (#lang_filename#)."
"no_open";"F E H L E R !!!<br /><br />Die Datei #lang_filename# kann nicht geöffnet werden."
"never";"Nie"
"um_header";"Benutzerdaten Migrations-Tool"
"um_proceed";"Mit Export der Benutzerdaten fortfahren ?<br /><br />"
"um_creating";"Erstellen"
"um_file_create_fail1";"Die neue Datei konnte nicht erstellt werden, weil eine Datei mit gleichem Namen bereits existiert:"
"um_file_create_fail2";"Erstellen fehlgeschlagen"
"um_file_create_fail3";"Prüfen Sie die Zugriffsrechte für dieses Verzeichnis."
"um_file_create_succ1";"Erstellen der neuen Datei abgeschlossen:"
"um_file_not_created";"Datei wurde nicht erstellt."
"um_nomsg";"Es liegen keine Nachrichten vor."
"um_nofav";"Es sind keine Lesezeichen vorhanden."
"um_nonews";"Es liegen keine Neuigkeiten vor."
"um_noblocks";"Es sind keine Blöcke vorhanden."
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
