"select_an_option";"Select an option below:"
"um_res_counters";"Restore Hit Counters"
"um_bu_usinfo";"User definitions, Block settings, Favorites, Messages, News"
"um_res_usinfo";"Restore User definitions, Block settings, Favorites, Messages, News"
"um_bu_lang";"Language settings and language extension files"
"um_res_lang";"Language settings"
"um_mk_bu";"Make Backup"
"um_mk_res";"Start Restore"
"um_nofiles";"No files found for backup."
"um_files_exist";"One or more files already exist. Do you want to overwrite them?"
"um_results";"Results"
"um_res_errors";"Errors occured during restore. Click to view SystemLog for more information."
"um_res_success";"Restore of selected data successfully completed."
"um_res_nofiles";"No files found to restore in your index directory"
"um_res_nooptions";"Please select which data to restore"
"preview_faq_item";"Preview all FAQ items"
"restore_faq_edits";"Restore FAQ edit functionality"
"add_faq_item";"Add FAQ item"
"edit_faq_item";"Edit FAQ item"
"delete_faq_item";"Delete FAQ item"
"moveup_faq_item";"Move FAQ item up"
"movedown_faq_item";"Move FAQ item down"
"type_audio";"Audio"
"type_book";"Book"
"type_card";"Card"
"type_electronic";"Electronic"
"type_fiche";"Fiche"
"type_film";"Film"
"type_magazine";"Magazine"
"type_manuscript";"Manuscript"
"type_map";"Map"
"type_newspaper";"Newspaper"
"type_photo";"Photo"
"type_tombstone";"Tombstone"
"type_video";"Video"
"help_page";"Help"
"show_contexthelp";"Show Contextual Help"
"hide_contexthelp";"Hide Contextual Help"
"help_config";"Configuration help"
"sc_sanity_check";"Genmod Sanity Check"
"sc_sanity_check_short";"Sanity Check"
"sc_check";"Check"
"sc_result";"Result"
"sc_check_components";"Check System Components"
"sc_php";"PHP version"
"sc_mysql";"MySQL version"
"sc_gd";"PHP graphical module"
"sc_ok";"OK"
"sc_php_low";"Your version of PHP is too low to run Genmod properly. Please ask your server's Administrator to upgrade the PHP installation."
"sc_mysql_low";"Your version of MySQL is too low to run Genmod properly. Please ask your server's Administrator to upgrade the MySQL installation."
"sc_gd_missing";"No PHP GD-module is found on your system. You will not be able to run graphical charts like the fanchart. You may ask your server's Administrator to install the graphical module."
"sc_ver_req";"Version required:"
"sc_ver_found";"Version found:"
"sc_check_sys_settings";"Check PHP and MySQL settings"
"sc_php_ini";"PHP INI-file settings"
"sc_value_req";"Value required:"
"sc_value_found";"Value found:"
"sc_ini_name";"PHP INI-setting: "
"sc_ini_faults";"The following differences have been found between required and actual settings. Please ask your server's Administrator to adjust these values."
"sc_mysql_user";"Minimum MySQL DB User rights"
"sc_mysql_user_obs";"Obsolete MySQL DB User rights"
"sc_mysql_users";"You should revoke the right to read the USER table."
"sc_mysql_databases";"You should revoke the rights to show or access other databases than"
"sc_mysql_dbcreate";"You should revoke the right to create databases."
"sc_mysql_dbdrop";"You should revoke the right to drop databases."
"sc_opt_tables_done";"Tables are optimized now"
"sc_opt_tables";"MySQL table optimization"
"sc_opt_cannot";"Cannot optimize tables: insufficient rights for DB user"
"sc_no_rights";"The database user for connecting to the MySQL database has insufficient rights. You should grant rights ONLY for the database in use by Genmod. The following rights should be granted for THIS database: SELECT, INSERT, UPDATE, DELETE, CREATE, ALTER, INDEX, DROP. For extra performance on import, also grant the LOCK priviledge."
"sc_no_lock_rights";"The database user has no LOCK priviledges. This will have a negative effect on your import actions."
"sc_mem";"PHP memory limit"
"sc_low_value_found";"Lowest value found:"
"sc_mem_low";"The memory setting limit for one or more of your GEDCOM files is set lower than the adviced value. You should adjust this in your GEDCOM settings. Nevertheless, the memory limit can also be set by your server's Administrator, thus overriding your maximum setting."
"sc_not_set";"Not set"
"sc_ged_sets";"Check GEDCOM integrity"
"sc_fs_security";"Check File system security"
"sc_fs_main";"Root level directory and files"
"sc_fs_main_error";"Your root level directory is writable. Change permissions to read only."
"sc_fs_index";"Index directory and files"
"sc_fs_index_error";"Your index directory is not writable. Change permissions to read/write."
"sc_fs_languages";"Languages directory and files"
"sc_fs_languages_rw";"Your languages directory and/or files are writable. This should only be in case you want to use the translation facilities of Genmod."
"sc_fs_languages_ro";"Your languages directory and files are not writable. You cannot use the translation facilities of Genmod."
"sc_fs_media";"Media directory and files"
"sc_fs_media_rw";"Your media directory is writable. This should only be in case you use Genmod to upload multimedia files.<br />Directory:"
"sc_fs_media_ro";"Your media directory is not writable. This should only be in case you do not use Genmod to upload multimedia files.<br />Directory:"
"sc_fs_filesrw";"The following files are found to be writable. You should change permissions for these files to read only:"
"sc_fs_dirrw";"The following directories are found to be writable. You should change permissions for these directories to read only:"
"sc_fs_filesro";"The following files are found to be read only. You should change permissions for these files to read/write:"
"sc_fs_other";"Other Genmod directories and files"
"sc_numchecked";"Number of files checked:"
"sc_numrecs_checked";"Checked:"
"sc_numrecs_found";"Found:"
"sc_dir_noaccess";"Cannot read directory. Check directory name and user rights for:"
"sc_ged_unlink";"The following unlinked persons are found:"
"sc_ged_nounlink";"No unlinked persons found."
"sc_inv_aref";"The following individuals/families have a reference to a non existing associate/alias:"
"sc_inv_sref";"The following individuals have a reference to a non existing source:"
"sc_inv_mref";"The following individuals have a reference to a non existing multimedia item:"
"sc_inv_mref_fam";"The following families have a reference to a non existing multimedia item:"
"sc_inv_mref_sour";"The following sources have a reference to a non existing multimedia item:"
"sc_inv_sref_media";"The following multimedia items have a reference to a non existing source:"
"sc_inv_sref_fam";"The following families have a reference to a non existing source:"
"sc_inv_rref_sour";"The following sources have a reference to a non existing repository:"
"sc_noref_sour_repo";"The following sources have no reference to a repository:"
"sc_empty_fam";"The following families have no members:"
"sc_unu_rref";"The following repositories are not being referenced to:"
"sc_unu_sref";"The following sources are not being referenced to:"
"sc_unu_mref";"The following multimedia items are not being referenced to:"
"sc_unu_nref";"The following general notes are not being referenced to:"
"sc_unu_file";"The following files are not being referenced to:"
"sc_ok_sref";"All references from individuals to sources are correct."
"sc_ok_aref";"All references from individuals/families to associates/aliases are correct."
"sc_ok_mref";"All references from individuals to multimedia items are correct."
"sc_ok_mref_fam";"All references from families to multimedia items are correct."
"sc_ok_mref_sour";"All references from sources to multimedia items are correct."
"sc_ok_sref_fam";"All references from families to sources are correct."
"sc_ok_sref_media";"All references from multimedia items to sources are correct."
"sc_ok_rref_sour";"All references from sources to repositories are correct."
"sc_ok_sour_repo_ref";"All sources have a reference to a repository."
"sc_ok_all_sref";"All sources are being referenced to."
"sc_ok_all_rref";"All repositories are being referenced to."
"sc_ok_all_mref";"All multimedia items are being referenced to."
"sc_ok_all_nref";"All general notes are being referenced to."
"sc_ok_empty_fam";"All families have at least one family member."
"sc_ok_use_file";"All multimedia files are being referenced to."
"sc_start";"Start sanity check"
"sc_inv_pointer";"Inconsistent references detected:"
"sc_fam";"Family:"
"sc_no_backward_fam";"Families has no backward reference to this individual."
"sc_no_fam";"No family with this ID exists for this individual."
"sc_no_backward_indi";"Individual has no backward reference to this family."
"sc_no_indi";"No individual with this ID exists for this family."
"sc_indi";"Individual:"
"sc_role";"Role:"
"sc_no_inv_point";"No inconsistencies detected between families and individuals."
"sc_numpoint_checked";"Number of references checked:"
"sc_gedname";"Gedcom:"
"sc_media";"Multimedia item:"
"recs_present";"Logrecords present:"
"sc_file";"File:"
"sc_ok_all_file";"All references from multimedia items to physical files are correct"
"sc_inv_mref_file";"The following reference from multimedia item to physical file are incorrect:"
"sc_check_oldgeds";"Check tables for old GEDCOM ID's"
"sc_oldged_actions";"Records exist in actions table for non-existent gedcom:"
"sc_oldged_blocks";"Records exist in blocks table for non-existent gedcom:"
"sc_oldged_changes";"Records exist in changes table for non-existent gedcom:"
"sc_oldged_dates";"Records exist in dates table for non-existent gedcom:"
"sc_oldged_cache";"Records exist in eventcache table for non-existent gedcom:"
"sc_oldged_fams";"Records exist in families table for non-existent gedcom:"
"sc_oldged_favs";"Records exist in favorites table for non-existent gedcom:"
"sc_oldged_gedconf";"Records exist in gedcom config table for non-existent gedcom:"
"sc_oldged_indichild";"Records exist in individual-child table for non-existent gedcom:"
"sc_oldged_indispouse";"Records exist in individual-spouse table for non-existent gedcom:"
"sc_oldged_indis";"Records exist in individuals table for non-existent gedcom:"
"sc_oldged_log";"Records exist in log table for non-existent gedcom:"
"sc_oldged_media";"Records exist in media table for non-existent gedcom:"
"sc_oldged_mediam";"Records exist in media mapping table for non-existent gedcom:"
"sc_oldged_names";"Records exist in names table for non-existent gedcom:"
"sc_oldged_news";"Records exist in news table for non-existent gedcom:"
"sc_oldged_other";"Records exist in other table for non-existent gedcom:"
"sc_oldged_otherm";"Records exist in other mapping table for non-existent gedcom:"
"sc_oldged_pl";"Records exist in placelinks table for non-existent gedcom:"
"sc_oldged_places";"Records exist in places table for non-existent gedcom:"
"sc_oldged_plot";"Records exist in plot cache table for non-existent gedcom:"
"sc_oldged_privacy";"Records exist in privacy table for non-existent gedcom:"
"sc_oldged_sourcesm";"Records exist in source mapping table for non-existent gedcom:"
"sc_oldged_sources";"Records exist in sources table for non-existent gedcom:"
"sc_oldged_soundex";"Records exist in soundex table for non-existent gedcom:"
"sc_oldged_stats";"Records exist in statscache table for non-existent gedcom:"
"sc_oldged_ug";"Records exist in users gedcom rights table for non-existent gedcom:"
"sc_oldged_ok";"All GEDCOM names and ID's in tables are valid"
"sc_oldgedclean_error";"Attempt to cleanup valid GEDCOM/GEDCOM-ID. Cleanup cancelled."
"sc_check_invgeds";"Check for invalid GEDCOM ID's"
"sc_nowrongfacts";"No GEDCOM tags found that are unknown to Genmod."
"sc_haswrongfacts";"The following records have unrecognized GEDCOM tags:"
"sc_facttag";"GEDCOM tag:"
"sc_check_gedtags";"Check for invalid GEDCOM-tags in the selected GEDCOMS"
"sc_nocheck_gedtags";"Check for invalid GEDCOM-tags was not selected"
"sc_cits";"Check for facts without source citation (families and individuals)"
"sc_nocits";"Check for source citations was not selected"
"sc_cits_ok";"All facts have source citations."
"sc_hasno_cits";"The following records are missing a source citation"
"sc_vfr_nodata";"File entry found with no data for"
"sc_vfr_nothumb";"File entry found with no thumb for"
"sc_vfr_nodir";"File entry found with no directory entry for"
"sc_vfr_ordata";"Orphaned filedata found for"
"sc_vfr_orthum";"Orphaned thumbdata found for"
"sc_vfs_sane";"The Virtual File System is healthy"
"sc_order_fam";"The following families may have their children recorded in the wrong order"
"sc_ok_order_fam";"All families have their children recorded in the right order."
"sc_ok_noteref";"All references to notes are valid."
"sc_inv_noteref";"The following records have a reference to a non existing general note:"
"load_all_langs";"Load all active languages from file"
"all_loaded";"All language files have been loaded successfully"
"all_not_loaded";"Not all language files have been loaded successfully"
"load_english";"Load English language files"
"english_loaded";"English language file has been loaded successfully"
"english_not_loaded";"English language file has not been loaded successfully"
"export_results";"Export results"
"editlang_lang_export_success";"Language file export successful"
"editlang_lang_export_no_success";"Language file export error"
"editlang_facts_export_success";"Facts file export successful"
"editlang_facts_export_no_success";"Facts file export error"
"editlang_help_export_success";"Language help file export successful"
"editlang_help_no_export_success";"Language help file export error"
"lang_not_stored";"Language not stored in database."
"lang_facts_not_stored";"Facts not stored in database."
"lang_help_not_stored";"Language help not stored in database."
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
"created_indis";"Successfully created <i>Individuals</i> table."
"created_indis_fail";"Unable to create <i>Individuals</i> table."
"created_fams";"Successfully created <i>Families</i> table."
"created_fams_fail";"Unable to create <i>Families</i> table."
"created_sources";"Successfully created <i>Sources</i> table."
"created_sources_fail";"Unable to create <i>Sources</i> table."
"created_other";"Successfully created <i>Other</i> table."
"created_other_fail";"Unable to create <i>Other</i> table."
"created_places";"Successfully created <i>Places</i> table."
"created_places_fail";"Unable to create <i>Places</i> table."
"created_placelinks";"Successfully created <i>Place links</i> table."
"created_placelinks_fail";"Unable to create <i>Place links</i> table."
"created_media";"Successfully created <i>Media</i> table."
"created_media_fail";"Unable to create <i>Media</i> table."
"created_media_mapping";"Successfully created <i>Media mappings</i> table."
"created_media_mapping_fail";"Unable to create <i>Media mappings</i> table."
"created_gedcoms";"Successfully created <i>Gedcoms</i> table."
"created_gedcoms_fail";"Unable to create <i>Gedcoms</i> table."
"created_counters";"Successfully created <i>Counters</i> table."
"created_counters_fail";"Unable to create <i>Counters</i> table."
"created_gedconf";"Successfully created <i>Gedcom configuration</i> table."
"created_gedconf_fail";"Unable to create <i>Gedcom configuration</i> table."
"created_privacy";"Successfully created <i>Gedcom privacy</i> table."
"created_privacy_fail";"Unable to create <i>Gedcom privacy</i> table."
"created_cache";"Successfully created <i>Eventcache</i> table."
"created_cache_fail";"Unable to create <i>Eventcache</i> table."
"created_scache";"Successfully created <i>Statisticscache</i> table."
"created_scache_fail";"Unable to create <i>Statisticscache</i> table."
"created_language";"Successfully created <i>Language</i> table."
"created_language_fail";"Unable to create <i>Language</i> table."
"created_pages";"Successfully created <i>Pages</i> table."
"created_pages_fail";"Unable to create <i>Pages</i> table."
"created_individual_spouse";"Successfully created <i>Spouses</i> table."
"created_individual_spouse_fail";"Unable to create <i>Spouses</i> table."
"created_individual_child";"Successfully created <i>Child</i> table."
"created_individual_child_fail";"Unable to create <i>Child</i> table."
"created_names";"Successfully created <i>Names</i> table."
"created_names_fail";"Unable to create <i>Names</i> table."
"created_dates";"Successfully created <i>Dates</i> table."
"created_dates_fail";"Unable to create <i>Dates</i> table."
"created_changes";"Successfully created <i>Changes</i> table."
"created_changes_fail";"Unable to create <i>Changes</i> table."
"created_log";"Successfully created <i>Log</i> table."
"created_log_fail";"Unable to create <i>Log</i> table."
"created_users";"Successfully created <i>Users</i> table."
"created_users_fail";"Unable to create <i>Users</i> table."
"created_blocks";"Successfully created <i>Blocks</i> table."
"created_blocks_fail";"Unable to create <i>Blocks</i> table."
"created_messages";"Successfully created <i>Messages</i> table."
"created_messages_fail";"Unable to create <i>Messages</i> table."
"created_favorites";"Successfully created <i>Favorites</i> table."
"created_favorites_fail";"Unable to create <i>Favorites</i> table."
"created_news";"Successfully created <i>News</i> table."
"created_news_fail";"Unable to create <i>News</i> table."
"my_pages";"My pages"
"new";"New"
"edit_pages";"Edit pages"
"page_deleted";"Page has been deleted"
"confirm_page_delete";"Are you sure you want to delete this page?"
"content";"Content"
"exwife";"Ex-Wife"
"exhusband";"Ex-Husband"
"unlink_list";"Unlinked List"
"gedcom_not_exist";"Gedcom does not exist."
"favorite_not_stored";"The favorite could not be saved into the database."
"subm";"SUBMITTER"
"submitter_record";"Submitter record"
"counters";"Hit counters"
"reset_counters";"Reset Hit Counters"
"confirm_count_delete";"Delete Hit Counters for"
"include";"Include"
"add_source_citation_to_person";"Add source citation to person only"
"add_source_reference_to_fact";"Add source reference to facts (no citation text)"
"add_source_citation_to_fact";"Add full source citation to facts"
"administration_maintenance";"Administration - Maintenance"
"maintenance";"Maintenance"
"reset_caches";"Reset all Genmod caches"
"reset_caches_ok";"Caches will be rebuilt at next use"
"restart_setup";"Restart setup"
"report_titles_generated";"Report titles have been generated."
"report_titles_not_generated";"Report titles have not been generated."
"generate_report_title";"Generate report titles"
"reset_isdead";"Reset isdead status"
"isdead_reset";"The isdead status has been reset."
"isdead_not_reset";"The isdead status has not been reset."
"disp_db_settings";"Display database settings"
"system_configuration_updated";"System configuration updated successfully."
"no_users_selected";"No users have been selected"
"update_users_selected_ok";"Select users have been updated successfully."
"update_users_selected_nok";"Select users have not been updated successfully."
"delete_user_ok";"User has been deleted successfully."
"delete_user_nok";"User has not been deleted successfully."
"cookie_message";"This site uses cookies to keep track of your login status.<br /><br />Cookies do not appear to be enabled in your browser. You must enable cookies for this site before you can login.  You can consult your browser's help documentation for information on enabling cookies."
"is_rawedited";"This record has been changed by the GEDCOM edit utility. Changes may not display correctly."
"DISPLAY_PINYIN";"Add PinYin translation to chinese names/places"
"config_update_ok";"Configuration succesfully updated"
"asso_alia";"Associate/Alias"
"export_warn";"The following languages have new translations. Export them to preserve the changes:"
"import_warn";"The following languages are changed and should be re-imported:"
"editlang_help_export_no_success";"Language help file export error"
"created_language_help_fail";"Unable to create <i>Language Help</i> table."
"gd_helplink";"http://www.php.net/gd"
"ppp_placelist_help2";"~PLACE LIST~<br /><br />In this list you can see the locations that have been found to this stage.<br /><br />The names of the locations in the list are clickable; clicking on a location works like a filter, you will be taken to the next level down.<br /><br />Only when you are in the top level will a name list not be displayed. At all subordinate levels you will get a list of families and individuals connected to that location.<br /><br />"
"SHOW_CONTEXT_HELP";"Show contextual <b>?</b> Help links"
"emergency_log_exists";"GM encountered database problems. Checkout the messages in your System Log."
"emergency_log_noprocess";"Cannot process the Emergency Logfile. Check permissions on emergency_syslog.txt in your index directory."
"qs_jump";"Quick Jump to"
"qs_login";"Login with your existing account"
"qs_findindi";"Find an individual from the list"
"qs_findfam";"Find a family from the list"
"qs_search_all";"Search all gedcoms with Quick Start?"
"qs_calendar";"Use the calendar to search by date"
"page_size";"Page size"
"menu_file";"File"
"menu_edit";"Edit"
"menu_view";"View"
"menu_charts";"Charts"
"menu_reports";"Reports"
"menu_lists";"Lists"
"menu_open";"Open"
"menu_calendar";"Calendar"
"menu_calendar_day";"Day"
"menu_calendar_month";"Month"
"menu_calendar_year";"Year"
"menu_favorites";"Favorites"
"ok";"ok"
"this_individual";"This individual"
"this_family";"This family"
"this_source";"This source"
"this_note";"This note"
"this_media";"This media object"
"this_repository";"This repository"
"lockout_maint";"Locked out users and IP-addresses"
"config_maint";"Enterprise mode site configurations"
"lockout_at";"Locked out"
"release_at";"Will be released"
"delete_selected";"Delete selected locks"
"delete_sel_configs";"Delete selected configurations"
"until_unlocked";"After manual release"
"no_lockouts";"No lockouts present"
"site_name";"Site Name to remove"
"aiy_usemaa";"If no birth or death date present, assume the maximum alive age (generally 120 years) between them"
"aiy_trueyears";"Only use true birth/death dates"
"aiy_narrowyears";"Use highest possible birthyear and lowest possible death year"
"aiy_wideyears";"Use lowest possible birthyear and highest possible death year"
"only_show_logged_in";"Only show this block to logged in users"
"select_deselect_all";"Select/Deselect all"
"show_gedrec_-1";"Never"
"show_gedrec_0";"To all users and visitors"
"show_gedrec_1";"To users with at least access rights"
"show_gedrec_2";"To users with at least edit rights"
"show_gedrec_3";"To users with at least approve changes rights"
"show_gedrec_4";"To users with at least manage GEDCOM rights"
"show_gedrec_5";"Only to site administrators"
"loglevel_0";"No logging at all"
"loglevel_1";"Log exceeding treshold"
"loglevel_2";"Log exceeding theshold and # views at time unit reset"
"EXCLUDE_HOSTS";"Hostnames and IP (ranges) to exclude from session-IP check"
"primary";"Primary"
"no_primary";"Don't set a primary family for charts"
"relation_families";"Set relation to families and primary display for charts"
"relation_fams_short";"Set child/family relation and chart display"
"embedmm";"Convert Multimedia records to embedded records"
"embednote";"Convert Note records to embedded records"
"add_action";"Add actions to the various record types"
"merge_notunique";"The following facts are unique and must be selected no more than once:"
"merge_haschanges";"One of the designated records has changes. Accept/reject those first, then try again."
"merge_success";"Merge succesfully accomplished. Click Accept/Reject changes to make it permanent."
"merge_success_auto";"Merge succesfully accomplished. Changes are committed to the datatabase."
"add_lockout";"Enter IP address or username to lockout"
"lockout_submit";"Add lockout"
"invalid_ip";"Invalid IP address format"
"invalid_user";"Username does not exist"
"SITE_ALIAS";"Alternative site URL's"
"invalidalias";"Enter aliases in the right format (see help)."
"aliaslogin";"You cannot use aliases and login URL's at the same time. Leave either empty."
"site_config";"Site configuration for"
"newfam_as_child";"Add a new family with this person as child"
"newlink_as_husband";"Add a new family with this person as husband"
"newlink_as_wife";"Add a new family with this person as wife"
"total_media";"Total Media Objects"
"helpmenu";"Help"
"comparing_helptext";"Help texts"
"repo_downloaded_from";"This Repository was downloaded from:"
"note_downloaded_from";"This Note was downloaded from:"
"media_downloaded_from";"This Media Object was downloaded from:"
"thishelp_add_trans";"Add a translation for this help text"
"thishelp_edit_trans";"Edit this help text"
"thishelp_add_text";"Add an English helptext for this topic"
"age_privacy";"Age related Privacy settings"
"all_users";"All users"
"gm_username";"Genmod username:"
"sync_mailsource";"Generated from user information by Genmod"
"mon_short";"Abbreviations for month names"
"VISITOR_LANG";"Initial visitor language"
"genmod_lang";"Automatic"
"media_not_found";"Multimedia item not found"
"source_not_found";"Source not found"
"note_not_found";"Note not found"
"repo_not_found";"Repository not found"
"MERGE_DOUBLE_MEDIA";"Merge embedded media items"
"merge_dm_0";"Don't merge"
"merge_dm_1";"Merge based on filename"
"merge_dm_2";"Merge based on filename and title"
"no_double_media";"You have selected a mediafile that is already know to Genmod.<br />Your information is replaced by a link to the existing Multimedia item."
"add_media_link_lbl";"Add link to this item"
"add_media_link";"Click to add a link"
"find_add_mmlink";"Find the ID to link to"
"reorder_media";"Reorder media items"
"filename";"Filename:"
"used_in";"Used in:"
"external_media";"External media links"
"MEDIA_IN_DB";"Store Multimedia files in the database"
"upload_to_folder";"Folder to place uploaded file"
"ext_not_allowed";"Files with this extension are not allowed"
"navigation";"Navigation"
"size";"Size"
"linked";"Linked"
"action";"Action"
"mm_links";"Links to Multimedia objects"
"fdetails";"File details"
"click_details";"Click to show file details"
"click_mm_links";"Click to show Multimedia links"
"file_status";"File status"
"stat_ro";"Read Only"
"stat_rw";"Read/Write"
"del_mm_file1";"Are you sure you want to delete this file?"
"del_mm_file2";"\nThis will cause dead links in the Multimedia objects where this file is used."
"deselect_all";"Deselect all"
"select_all";"Select all"
"with_selected";"With selected"
"sel_location";"Move to"
"go";"Go"
"dir_exists";"Directory already exists"
"dir_created";"Successfully created directory"
"dir_not_created";"Directory not created"
"directories";"Directories"
"create_dir";"Create directory"
"under";"under"
"move_fail";"There was a problem moving the file(s)"
"move_ok";"File(s) are succesfully moved, changes are generated. Links will show after approval."
"delete_ok";"File(s) are succesfully deleted."
"delete_fail";"There was a problem deleting the file(s)"
"dirdel_ok";"Directory succesfully deleted"
"dirdel_fail";"There was a problem removing the directory"
"auto_thumbs";"Auto-generate"
"thumb_options";"Thumbnail options"
"show_dir";"Show Directory"
"nothing_selected";"Nothing was selected"
"switch_functions";"Switch functions"
"file_management";"Manage files"
"in_export";"Upload/Import/Export"
"db_to_file";"Export DB mediafiles to filesystem"
"file_to_db";"Import DB mediafiles from filesystem"
"del_exp_files";"Delete exported files from the database"
"del_exist_files";"Overwrite existing files in the filesystem"
"del_imp_files";"Delete imported files from the filesystem"
"del_exist_db";"Overwrite existing files in the database"
"exp_no_thum";"Don't export the thumbnails"
"exp_thumb";"Export files and thumbnails"
"upl_thumb";"Thumbnail file (if blank, Genmod will try to generate it)"
"upload_filesys";"Upload mediafile to the physical filesystem"
"upload_db";"Upload mediafile to the database"
"del_upl_files";"Overwrite existing file"
"files_found";"Files found:"
"linked_only";"Only files that are linked to a Multimedia object"
"m_imp_err";"There were errors. Checkout your system log."
"mm_inserts";"Number of items imported:"
"mm_exports";"Number of items exported:"
"invalid_file";"Invalid characters in path/filename"
"BCC_WEBMASTER";"Bcc system emails to the webmaster"
"cleanup_messages";"View/cleanup user messages"
"number";"Number"
"del_mail";"Empty selected mailboxes"
"total_messages";"Total number of messages:"
"confirm_sure";"Are you sure you want to do this?"
"user_no_email";"There is no recorded email address where to new password can be sent to.<br />Please contact the administrator, using the link below."
"user_overr_exists";"Users with privacy overrides for this GEDCOM exist."
"user_overr_show";"Click here to show these users."
"action0";"Open"
"action1";"Closed"
"todo";"ToDo"
"add_todo";"Create new ToDo item"
"show_links";"Show Links"
"show_actions";"Show ToDo items"
"for";"For"
"sc_fdatasize";"Total size of main file data:"
"sc_fthumbsize";"Total size of thumb data:"
"um_res_actions";"Restore ToDo's"
"um_proceed_bu";"Proceed with backup"
"um_mediaexp";"Media is exported to the physical filesystem, in your media directory. You must remove these files manually after creating the backup."
"um_nomedia";"The option to include media files in the backup is disabled. Possibles causes are insufficient rights in the media directory, missing media directory or insufficient disk space."
"um_bu_actions";"ToDo's"
"no_empty_dirs";"No empty directories found"
"INDI_EXT_FAM_FACTS";"Show extended family facts in individual fact list"
"sc_inv_mref_repo";"The following repositories have a reference to a non existing multimedia item:"
"sc_ok_mref_repo";"All references from repositories to multimedia items are correct."
"um_actions";"ToDo's"
"pl_show_event";"Filter on event for this location:"
"INDI_QUICK_ADDFACTS";"Quick Links for Individual Facts"
"FAM_QUICK_ADDFACTS";"Quick Links for Family Facts"
"SOUR_QUICK_ADDFACTS";"Quick Links for Source Facts"
"REPO_QUICK_ADDFACTS";"Quick Links for Repository Facts"
"MEDIA_QUICK_ADDFACTS";"Quick Links for Multimedia Object Facts"
"NOTE_QUICK_ADDFACTS";"Quick Links for General Note Facts"
"source_id_no_exists";"This source ID does not exist, please enter a valid one!"
"repo_id_no_exists";"This repository ID does not exist, please enter a valid one!"
"fam_id_no_exists";"This family ID does not exist, please enter a valid one!"
"indi_id_no_exists";"This individual ID does not exist, please enter a valid one!"
"note_id_no_exists";"This General Note ID does not exist, please enter a valid one!"
"media_id_no_exists";"This media ID does not exist, please enter a valid one!"
"faq_page";"Frequently Asked Questions"
"actionlist";"ToDo List"
"sort_by_person";"Sort list by relation"
"sort_by_repo";"Sort list by repository name"
"show_status";"Show ToDo's with status:"
"action_for_id";"ToDo relates to"
"no_action_found";"No ToDo's found"
"sc_ged_displ_unlinked";"Check for unlinked persons"
"sc_ged_unlinked_noselect";"Check for unlinked persons was not selected"
"QS_search_click";"Click HERE for search tips!"
"QS_search_tips";"Quick Start Search Tips"
"auto_continue";"Automatically press the "Continue" button"
"max_time";"Test maximum execution time"
"maxtime_explain";"This script runs until either:<br />1. the maximum execution time for PHP scripts, set by your administrator, is exceeded.<br />2. The maximum runtime, set by you, is exceeded.<br /><br />The maximum value reached is stored in the database.<br /><br />Upon termination of this script, you may close this window.<br /><br />"
"maxtime_not_set";"The maximum execution time for your system is not determined yet"
"maxtime_measure";"Click <a href="maxtime.php" target="_blank">here</a> to start a new measurement"
"maxtime_is";"The maximum execution time measured previously is:"
"maxtime_now";"The maximum execution time in seconds is at least:"
"LISTS_ALL";"Show "ALL" option on person and family list"
"sc_oldged_indifamily";"Records exist in individual-family table for non-existent gedcom:"
"add_site_to_favs";"Add this website to your favorites"
"user_password_same";"Username and password cannot be equal"
"maxtime_explain2";"To prevent this script from running forever, select the number of minutes you want to set as maximum, then press the Go button."
"maxtime_lower";"The actual maximum execution time exceeds the maximum time you indicated at the start of this script.<br />"
"first_last_same";"Firstname and lastname must not be the same"
"stplnumof";"Counts "
"stplmarrbirth";"Months between marriage and birth of first child"
"statistiek_list";"Statistics Plot"
"inc_themes";"Themes"
"top";"Top"
"center";"Center"
"bottom";"Bottom"
"pl_scr";"Auto to screen"
"pl_win";"Auto to window"
"pl_std";"Standard"
"pl_large";"Large"
"pl_xlarge";"X-Large"
"pl_shadow";"Shadow:"
"pl_val";"Value position:"
"pl_size";"Graph size:"
"NICK_DELIM";"Show nickname between:"
"stplnum";"numbers"
"DEFAULT_PAGE_SIZE";"Default page size for reports"
"p_A4";"A4"
"p_A3";"A3"
"p_A5";"A5"
"p_letter";"Letter"
"p_legal";"Legal"
"ind_evt_report";"Event (Individual) Date and Place Report"
"indevtplace";"Individual Event Place contains"
"indevtdate1";"Individual Event Date range start"
"indevtdate2";"Individual Event Date range end"
"fam_evt_report";"Event (Family) Date and Place Report"
"famevtplace";"Family Event Place contains"
"famevtdate1";"Family Event Date range start"
"famevtdate2";"Family Event Date range end"
"changes_report";"Changes Report"
"changedate1";"Ending range of change dates"
"changedate2";"Starting range of change dates"
"differences";"Differences"
"changes_pending_tot";"Total pending changes: "
"changes_accepted_tot";"Total accepted changes: "
"show_sections";"Sections to show"
"all_sections";"All Sections"
"attempt_auto_acc";"Attempt to accept this change immediately"
"RSS_block_select";"Select blocks to show in RSS feed"
"show_next_id";"Show next free ID's"
"next_free";"Next free for"
"click_for";"Click for:"
"query_exec_time";"Query execution time:"
"build_isdead";"Build unknown isdead statusses for individuals"
"repos";"Repositories"
"create_general_note";"Create a new General Note"
"facts";"Facts and Details"
