"ABBREVIATE_CHART_LABELS";"Bezeichnungen in Diagrammen abkürzen"
"view_change_diff";"Änderungen ansehen"
"view_changelog";"Datei changelog.txt ansehen"
"view_family";"Familie zeigen"
"view_gedcom";"GEDCOM-Datensatz anzeigen"
"view_logs";"Log-Dateien einsehen"
"view_person";"Person zeigen"
"view_readme";"Datei readme.txt ansehen"
"view_records_in_place";"Alle Datensätze für diesen Ort anzeigen"
"view_source";"Quelle zeigen"
"viewday";"Tag anzeigen"
"viewing_url";"Diese Nachricht wurde gesendet als die folgende Seite aufgerufen wurde: "
"viewmonth";"Monat anzeigen"
"viewyear";"Jahr anzeigen"
"visibleonline";"Für andere Benutzer sichtbar, wenn online"
"wednesday";"Mittwoch"
"week_start";"1. Tag der Woche"
"weekly";"Wöchentlich"
"welcome";"Willkommen"
"welcome_block";"Willkommen"
"welcome_descr";"Der "Benutzer Willkommen"-Block zeigt den Benutzer, das aktuelle Datum und die Uhrzeit, Links, um die Benutzereinstellungen zu ändern und zu seiner eigenen Stammbaumansicht und einen Link zur Anpassung seiner Mein GedView-Seite."
"welcome_new";"Willkommen auf Ihrer neuen Genmod-Website. Da sie diese Seite angezeigt bekommen, haben Sie Genmod auf Ihrem Webserver schon erfolgreich installiert und sind nun bereit, es nach Ihren Vorstellungen zu konfigurieren.<br />"
"welcome_page";"Begrüßungs-Seite"
"welcome_text_auth_mode_1";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br />Den Zugriff auf diese Seite erhält jeder Benutzer, der einen Zugang beantragt hat.<br /><br />Wenn Sie bereits einen Benutzerzugang haben, können Sie sich auf dieser Seite einloggen. Wenn Sie noch keinen Zugang besitzen, können Sie diesen beantragen, indem Sie auf den entsprechenden Link klicken.<br /><br />Sobald Ihre Angaben überprüft wurden, wird der Administrator Ihren Zugang freischalten. Sie werden dann eine Bestätigungsungsmail erhalten."
"welcome_text_auth_mode_2";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br /><br />Der Zugriff auf diese Seite ist nur <u>autorisierten</u> Benutzern erlaubt.<br /><br />Wenn Sie bereits einen Benutzerzugang haben, können Sie sich auf dieser Seite einloggen. Wenn Sie noch keinen Zugang besitzen, können Sie diesen beantragen, indem Sie auf den entsprechenden Link klicken.<br /><br />Sobald Ihre Angaben überprüft wurden, wird der Administrator Ihrem Antrag zustimmen (oder ihn ablehnen). Sie werden eine E-Mail mit dem Antragsergebnis erhalten."
"welcome_text_auth_mode_3";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br />Den Zugriff auf diese Seite erhalten <u>nur Familienmitglieder</u>.<br /><br />Wenn Sie bereits einen Benutzerzugang haben, können Sie sich auf dieser Seite einloggen. Wenn Sie noch keinen Zugang besitzen, können Sie diesen beantragen, indem Sie auf den entsprechenden Link klicken.<br /><br />Sobald Ihre Angaben überprüft wurden, wird der Administrator Ihrem Antrag zustimmen (oder ihn ablehnen).<br />Sie werden eine E-Mail mit dem Antragsergebnis erhalten."
"welcome_text_cust_head";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br />Der Zugriff ist Benutzern vorbehalten, die einen Benutzernamen und ein Passwort für diese Webseite haben.<br />"
"which_links";"Welche Verbindungen dieser Familie möchten Sie noch hinzuzufügen?"
"which_p_links";"Welche Verbindungen dieser Person möchten Sie hinzufügen?"
"wife";"Ehefrau"
"witness";"Zeuge"
"xreftorin";"Convert XREF IDs to RIN number (wandelt XREF Nummern in RIN Nummern um)"
"year";"Jahr:"
"year_anniversary";"#year_var#. Jahrestag"
"year_error";"Daten vor 1970 werden leider nicht unterstützt."
"yearly";"Jährlich"
"yes";"Ja"
"you_may";"Sie können:"
"you_may_login";"vom Administrator dieser Seite. Mit dem folgenden Link können Sie sich jetzt auf der Genmod Seite einloggen:"
"zoom_box";"Zoom hinein/heraus"
"zoom_in";"Zoom +"
"zoom_out";"Zoom -"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
