"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"return_editconfig_gedcom";"Du kan gå tilbake til denne siden for konfigurasjon ved å klikke på linken <b>Endre</b> i tabellen <b>Aktive slektsfiler (GED)</b><br />på siden for administrasjon av <b>Slektsfil(er) og personvern</b>, eller ved å angi filen editconfig_gedcom.php i adresselinjen i nettleseren din.<br />"
"review_changes";"Vis endringer i slektsbasen"
"review_changes_block";"Rammen Endringer på vent"
"review_changes_body";"Endringer i slektsbasen er blitt gjort online.  Disse endringene må sjekkes og eventuelt godkjennes før de kan vises for alle brukere.  Vennligst bruk adressen (URL) under for å gå til Genmod på nettet for å se endringene (du må oppgi brukernavn og passord)."
"review_changes_descr";"Rammen Endringer på vent, vil gi brukere med rett til å endre opplysninger online, en mulighet til å se en endringsliste før disse er blitt godkjent.  Disse endringen kan enten bli godkjent eller forkastet.<br /><br />Dersom denne rammen er aktiv, vil brukere med rettighet til å godkjenne motta en e-post daglig som en påminning om å sjekke endringer."
"review_changes_email";"Sende påminnelse med epost?"
"review_changes_email_freq";"Hvor ofte skal påminnelser sendes (dager)"
"review_changes_subject";"Genmod - Vis endringer"
"right_section";"Høyre seksjons-rammer"
"root_person";"ID til startperson&nbsp;"
"rootid";"ID til startperson<br />i slektsbasen"
"rss_descr";"Nyheter og lenker fra nettstedet #GEDCOM_TITLE#"
"rss_feeds";"RSS lenker"
"rss_logo_descr";"Oppføringen er laget av Genmod #VERSION#"
"rtl";"Høyre til venstre"
"run_report";"Vis rapport"
"run_tools";"Vil du utføre en av disse valgene før filen blir importert:"
"same_ids";"Du oppgav to like IDer.  Du kan ikke flette en oppføring med seg selv."
"saturday";"lørdag"
"saturday_1st";"L"
"save";"Lagre"
"save_and_import";"Etter at du har lagret denne GEDCOM konfigurasjon er det nødvendigt å importere GEDCOM ved å klikke på knappen <b>Importer GEDCOM</b> eller fra <b>Administrasjon->Slektsfil(er) og personvern->Importer GEDCOM</b>"
"save_changed_settings";"Lagre endringer"
"save_config";"Lagre konfigurasjon"
"savedata";"Lagre endrede data"
"savelang";"Lagre"
"sc_check";"Sjekk"
"sc_check_components";"Sjekk System-komponenter"
"sc_check_sys_settings";"Sjekk PHP- og MySQL-innstillinger"
"sc_dir_noaccess";"Klarte ikke å lese katalogen. Sjekk katalog-navn og bruker-rettigheter for:"
"sc_fam";"Familie:"
"sc_file";"Fil:"
"sc_fs_dirrw";"Fant at følgende kataloger er skrivbare. Du bør endre rettighetene for disse katalogene til bare lesbar:"
"sc_fs_filesro";"Fant at følgende filer er bare lesbare. Du bør endre rettighetene for disse filene til lese/skrive (read/write):"
"sc_fs_filesrw";"Fant at følgende filer er skrivbare. Du bør endre rettighetene for disse filene til bare lesbar:"
"sc_fs_index";"Index-katalog og filer"
"sc_fs_index_error";"Index-katalogen din og/eller filer er ikke skrivbar. Endre rettioghetene til lese/skrive (read/write)."
"sc_fs_languages";"Languages-katalog og filer"
"sc_fs_languages_ro";"Languages-katalogen din og/eller filer er ikke skrivbar. Du kan ikke bruke muligheten til å oversette Genmod."
"sc_fs_languages_rw";"Languages-katalogen din og/eller filer er skrivbare. Du bør bare la den være det dersom du bruker valget for å oversette Genmod."
"sc_fs_main";"Rotnivå-katalogen og filer"
"sc_fs_main_error";"Rot-katalogen din er skrivbar. Endre rettighetene til kun lesbar (read-only)."
"sc_fs_media";"Media-katalog og filer"
"sc_fs_media_ro";"Media-katalogen din er ikke skrivbar. Dette bør bare være tilfelle dersom du ikke bruker Genmod for å laste opp multimedia-filer.<br />Katalog:"
"sc_fs_media_rw";"Media-katalogen din er skrivbar. Dette bør bare være tilfelle dersom du bruker Genmod for å laste opp multimedia-filer.<br />Katalog:"
"sc_fs_other";"Andre Genmod-kataloger og filer"
"sc_fs_security";"Sjekk sikkerhet til fil-system"
"sc_gd";"PHP grafisk modul"
"sc_gd_missing";"Fant ingen PHP GD-module på serveren din. Du vil ikke kunne vise grafiske diagram slik som slektshjul. Du kan spørre server-administratoren din om å installere den grafiske modulen."
"sc_ged_nounlink";"Alle personer har en kobling mot andre."
"sc_ged_sets";"Sjekk GEDCOM-integritet"
"sc_ged_unlink";"Følgende personer har ikke kobling mot andre:"
"sc_gedname";"Gedcom:"
"sc_indi";"Person:"
"sc_ini_faults";"Følgende forskjeller ble funnet i forhold til påkrevet og faktiske innstillinger. Spør server-administratoren din om å justere disse verdiene."
"sc_ini_name";"PHP INI-innstillinger: "
"sc_inv_mref";"Følgende personer har en kobling til et multimedia-objekt som ikke finnes:"
"sc_inv_mref_fam";"Følgende familier har en kobling til et multimedia-objekt som ikke finnes:"
"sc_inv_mref_file";"Følgende referanse fra multimedia-objekt til fysisk fil er ikke korrekt:"
"sc_inv_mref_sour";"Følgende kilder har en kobling til et multimedia-objekt som ikke finnes:"
"sc_inv_pointer";"Fant inkonsekvent referanse:"
"sc_inv_rref_sour";"Følgende kilder har en kobling til et oppbevaringssted som ikke finnes:"
"sc_inv_sref";"Følgende personer har en kobling til en kilde som ikke finnes:"
"sc_inv_sref_fam";"Følgende familier har en kobling til en kilde som ikke finnes:"
"sc_inv_sref_media";"Følgende multimedia-objekt har en kobling til en kilde som ikke finnes:"
"sc_low_value_found";"Laveste verdi funnet:"
"sc_media";"Multimedia-objekt:"
"sc_mem";"PHP minnegrense"
"sc_mem_low";"Grensen for minnebruk for en eller flere av GEDCOM-filene dine er satt lavere enn den anbefalte verdien. Du bør justere dette i GEDCOM-innstillingene dine. Ikke desto mindre, minnegrensen kan også settes av administratoren til serveren din, slik at denne overstyrer maks-innstillingen din."
"sc_mysql";"MySQL versjon"
"sc_mysql_databases";"Du bør gjøre om rettighetene til å vise eller få tilgang til andre databaser enn"
"sc_mysql_dbcreate";"Du bør gjøre om rettighetene til å lage databaser."
"sc_mysql_dbdrop";"Du bør gjøre om rettighetene til å fjerne (drop) databaser."
"sc_mysql_low";"MySQL-versjonen din er for gammel for å kunne kjøre Genmod skikkelig. Spør server-administratoren din om å oppgradere MySQL-installasjonen."
"sc_mysql_user";"Minimum MySQL DB-bruker-rettigheter"
"sc_mysql_user_obs";"Foreldede MySQL DB-bruker-innstillinger"
"sc_mysql_users";"Du bør gjøre om rettighetene til å lese tabellen USER."
"sc_no_backward_fam";"Familier har ikke noen bakover-referanse til denne personen."
"sc_no_backward_indi";"Personer har ikke noen bakover-referanse til denne familien."
"sc_no_fam";"Ingen familie med denne ID finnes for denne personen."
"sc_no_indi";"Ingen personer med denne ID finnes for denne familien."
"sc_no_inv_point";"Fant ingen inkonsekvenser mellom familier og personer."
"sc_no_rights";"Database-brukeren for å tilkobling til MySQL-databasen har ikke nok rettigheter. Du bør BARE gi rettighet for databasen som Genmod bruker. Følgende rettigheter bør gis for DENNE database: SELECT, INSERT, UPDATE, DELETE, CREATE, ALTER, INDEX, DROP."
"sc_not_set";"Ikke angitt"
"sc_numchecked";"Antall filer sjekket:"
"sc_numpoint_checked";"Antall referanser sjekket:"
"sc_numrecs_checked";"Sjekket:"
"sc_numrecs_found";"Funnet:"
"sc_ok";"OK"
"sc_ok_all_file";"Alle referanser fra multimedia-objekt til fysiske filer er korrekt"
"sc_ok_all_mref";"Alle multimedia-objekt er referert til."
"sc_ok_all_rref";"Alle oppbevaringssteder er referert til."
"sc_ok_all_sref";"Alle kilder er referert til."
"sc_ok_mref";"Alle referanser fra personer til multimedia-objekt er korrekte."
"sc_ok_mref_fam";"Alle referanser fra familier til multimedia-objekt er korrekte."
"sc_ok_mref_sour";"Alle referanser fra kilder til multimedia-objekt er korrekte."
"sc_ok_rref_sour";"Alle referanser fra kilder til oppbevaringssteder er korrekte."
"sc_ok_sref";"Alle referanser fra personer til kilder er korrekte."
"sc_ok_sref_fam";"Alle referanser fra familier til kilder er korrekte."
"sc_ok_sref_media";"Alle referanser fra multimedia-objekt til kilder er korrekte."
"sc_ok_use_file";"Alle multimedia-filer er referert til."
"sc_opt_cannot";"Kan ikke optimalisere tabeller: ikke nok rettighet for DB-bruker"
"sc_opt_tables";"MySQL-tabell optimalisering"
"sc_opt_tables_done";"Tabeller er nå optimalisert"
"sc_php";"PHP versjon"
"sc_php_ini";"Innstillinger i PHP INI-fil"
"sc_php_low";"PHP-versjonen din er for gammel for å kunne kjøre Genmod skikkelig. Spør server-administratoren din om å oppgradere PHP-installasjonen."
"sc_result";"Resultat"
"sc_role";"Rolle:"
"sc_sanity_check";"Genmod helsesjekk"
"sc_sanity_check_short";"Helsesjekk"
"sc_start";"Start helse-sjekk"
"sc_unu_file";"Følgende filer har ingen koblinger:"
"sc_unu_mref";"Følgende multimedia-objekt har ingen koblinger:"
"sc_unu_rref";"Følgende oppbevaringssteder har ingen koblinger:"
"sc_unu_sref";"Følgende kilder har ingen koblinger:"
"sc_value_found";"Fant verdi:"
"sc_value_req";"Krever verdi:"
"sc_ver_found";"Fant versjon:"
"sc_ver_req";"Krever versjon:"
"sealing";"Kobling"
"search";"Søk"
"search_DM";"Daitch-Mokotoff"
"search_asso_label";"Vise i tillegg"
"search_asso_text";"Beslektede personer / familier"
"search_fams";"Familier"
"search_gedcom";"Søke i slektsfilen"
"search_geds";"Slektsbase det skal søkes i"
"search_general";"Vanlig søk"
"search_indis";"Personer"
"search_inrecs";"Søk etter"
"search_more_chars";"Du må søke etter mer enn bare en bokstav"
"search_options";"Valg for søket"
"search_place";"Stedsnavn"
"search_prtall";"Alle navn"
"search_prthit";"Navn med antall treff"
"search_prtnames";"Vise"
"search_russell";"Russell"
"search_sorton";"Sorter resultatet på"
"search_soundex";"Slik du tror det er skrevet"
"search_soundextype";"Metode"
"search_sources";"Kilder"
"search_tagfilter";"Begrensning"
"search_tagfoff";"Av"
"search_tagfon";"Utelat enkelte ikke-tilknyttede slektsdata"
"search_type";"Søkemetode"
"search_year";"År"
"searchtype";"Søketype"
"sec";"sek."
"seconds";"&nbsp;&nbsp;sekunder"
"security_no_create";"Sikkerhetsadvarsel: Filen <b><i>index.php</i></b> finnes ikke i "
"security_not_exist";"Sikkerhetsadvarsel: Klarte ikke å lage filen <b><i>index.php</i></b> i "
"select";"Velg"
"select_an_option";"Alternativer:"
"select_date";"Velg en dato"
"select_fact";"Velg en faktaopplysning..."
"select_gedcom_records";"Velg 2 oppføringer i slektsbasen som skal flettes.  Oppføringene må være av samme type."
"select_privacyfile_button";"Velg personvern-fil"
"select_report";"Neste >>"
"selected_report";"Valgt rapport"
"send";"Send"
"sending_to";"- Beskjeden vil bli sendt til #TO_USER#"
"sep";"september"
"servant";"Tjener"
"server_url_note";"Dette bør være URLen til din Genmod mappe/katalog.  Du bør bare endre dette valget dersom du er sikker på hva du gjør.  Genmod har sjekket ut at din SERVER_URL bør være #GUESS_URL#"
"set_link";"Lag kobling"
"sex";"Kjønn"
"show";"Vis"
"show_age";"Vis markør for alder"
"show_basic";"Skriv ut de vanligste hendelsene<br />&nbsp;&nbsp;&nbsp;- selv om disse er tomme?"
"show_changes";"Denne oppføringen er blitt oppdatert. Klikk her for å se endring(ene)."
"show_contexthelp";"Vis tilhørende hjelpetekster"
"show_cousins";"Vis søskenbarn"
"show_details";"Vis detaljer"
"show_empty_block";"Ikke vise denne rammen dersom den er tom?"
"show_events";"Vis hendelser"
"show_last";"Vis siste"
"show_notes";"Vise noter?"
"show_path";"Slektslinje"
"show_photos";"Vise bilder?"
"show_phpinfo";"Vis info om PHP"
"show_place_hierarchy";"Vis stedsnavn etter nivå"
"show_place_list";"Vis alle stedsnavn"
"show_question";"Vis ?"
"show_spouses";"Vis ektefeller"
"show_surnames";"Vis kun etternavn"
"show_thumbnail";"Vis miniatyrbilde(r)"
"showcal";"Vis hendelser for"
"sibling";"Søsken"
"siblings";"Søsken"
"sister";"Søster"
"sister-in-law";"Svigerinne"
"site_default";"Standard på siden"
"siteadmin";"Administrator av nettstedet"
"skip_cleanup";"Ikke rydd...!?"
"skip_surnames";"Vis utvidet liste"
"slk_list";"EXCEL (*.slk) regneark"
"son";"Sønn"
"son-in-law";"Svigersønn"
"sorry";"<b>Beklager, men vi er ikke ferdig med hjelpeteksten for denne siden eller delen enda...</b>"
"sort_by";"Sortert på "
"sort_by_birth";"Sorter på fødselsdato"
"sort_by_marriage";"Sortert på dato for ekteskap"
"soundex_search";"Søk slik du <i>tror</i> navnet er skrevet"
"source";"Kilde"
"source_complete";"Oppdatering av kildeindeksfilen er ferdig."
"source_contains";"Kilde inneholder:"
"source_downloaded_from";"Denne kilden er hentet fra:"
"source_info";"Informasjon om kilde"
"source_list";"Kilder"
"source_menu";"Valg for kilde"
"source_name";"Kildenavn:"
"sources";"Kilder"
"sources_found";"kilder funnet"
"spouse";"Ektefelle/partner"
"spouse-family";"Ektefelle og barn"
"ssourcess";"Kilder"
"standard_conf";"<b>Standard</b> konfigurasjons-valg"
"start_at_parents";"Start med foreldrene"
"starts_with";"Starter med:"
"stat_10_none";"ingen"
"stat_11_mb";"Fødselsmåned"
"stat_12_md";"Dødsmåned"
"stat_13_mm";"Ekteskapsmåned"
"stat_14_mb1";"Fødselsmåned for førstefødte i familie"
"stat_15_mm1";"Måned for første ekteskap"
"stat_16_mmb";"Måneder mellom ekteskap og første barn."
"stat_17_arb";"alder i forhold til fødselsår."
"stat_18_ard";"alder i forhold til dødsår."
"stat_19_arm";"alder i forhold til vigselår."
"stat_200_none";"alle (eller tom)"
"stat_201_num";"antall"
"stat_202_perc";"prosent"
"stat_20_arm1";"alder ved første ekteskap."
"stat_21_nok";"antall barn."
"stat_300_none";"ingen"
"stat_301_mf";"mann/kvinne"
"stat_302_cgp";"perioder. Sjekk akse-verdier (z-akse)"
"stat_average_children";"Gjennomsnittsantall med barn pr. familie"
"stat_avg_age_at_death";"Gjennomsnittsalder ved død"
"stat_earliest_birth";"Tidligste fødselsår"
"stat_events";"Antall hendelser"
"stat_families";"Familier"
"stat_gax";"sjekk akse-verdier for alder"
"stat_gmx";"sjekk akse-verdier for måned"
"stat_gnx";"sjekk akse-verdier for antall"
"stat_individuals";"Personer"
"stat_latest_birth";"Siste fødselsår"
"stat_longest_life";"Person som har levd lengst"
"stat_most_children";"Familie med flest barn"
"stat_other";"Andre oppføringer"
"stat_sources";"Kilder"
"stat_surnames";"Antall etternavn"
"stat_users";"Antall brukere"
"statar_xga";"akse-verdier for antall   (x-axis):"
"statar_xgl";"akse-verdier for alder    (x-axis):"
"statar_xgm";"akse-verdier for måned    (x-axis):"
"statar_xgp";"akse-verdier for perioder (x-axis):"
"statar_zgp";"akse-verdier for perioder (z-axis):"
"statistics";"Statistikk"
"statlxa";"langs x-aksen:"
"statlya";"langs y-aksen:"
"statlza";"langs z-aksen"
"statmess1";"<b>Bare fyll ut neste rader i forhold til tidligere verdier for x-akse eller z-akse</b>"
"statnfam";"antall familier ="
"statnfemale";"antall kvinner  ="
"statnmale";"antall menn     ="
"statnnames";"antall navn     ="
"statreset";"Nullstill"
"stats_to_show";"Velg statistikker som skal vises i denne rammen"
"statsubmit";"Vis diagram"
"status";"Status"
"statutci";"klarte ikke å lage indeks"
"statvars";"Fyll inn følgende variabler for diagrammet"
"step1";"Del 1 av 4:"
"step2";"Del 2 av 4:"
"step3";"Del 3 av 4:"
"step4";"Del 4 av 4:"
"stepbrother";"Stebror"
"stepdad";"Stefar"
"stepfamily";"Ste-familie"
"stepmom";"Stemor"
"stepsister";"Stesøster"
"still_living_error";"Personen lever fremdeles eller har ikke noen datoer for fødsel eller dødsfall. Alle opplysninger om levende personer er skjult for offentligheten.<br />For ytterligere informasjon kontakt"
"stillborn";"Ufødt"
"stpl";"..."
"stplGDno";"Grafisk visningsbiblitek er ikke tilgjengelig i PHP 4. Vennligst kontakt verten for nettstedet ditt"
"stplage";"alder"
"stplgzas";"rammer z-akse:"
"stplinfo";"diagram-informasjon:"
"stplipot";"/ per tidsperiode"
"stpljpgraphno";"JPgraph moduler finnes ikke i katalogen <i>Genmod/jpgraph/</i>.  Vennligst hent dem hos http://www.aditus.nu/jpgraph/jpdownload.php<br> <h3>Installer først JPgraph i katalogen <i>Genmod/jpgraph/</i></h3><br>"
"stplmf";"/ mann-kvinne"
"stplmonth";"måned"
"stplnoim";"ikke tilgjengelig:"
"stplnumbers";"antall for en familie"
"stplperc";"prosent"
"stpltype";"type:"
"subtractions";"Fjernet (ikke i bruk lenger)"
"suffix";"Suffiks:"
"sunday";"søndag"
"sunday_1st";"S"
"support_contact";"Teknisk hjelp"
"surname";"Etternavn:"
"surnames";"Etternavn"
"sync_gedcom";"Kopier innstillingene for slektsbasen"
"syslog";"System-logg"
"system_time";"Gjeldende systemtid:"
"tables_exist";"Genmod tabeller finnes allerede i databasen"
"temple";"Mormoner-tempel"
"temple_code";"Mormoner-tempel-kode:"
"text";"Kildetekst:"
"text_direction";"Tekst-retning"
"thankyou";"Hei #user_fullname# og takk for søknaden din om å få en brukerkonto."
"theme_select_block";"Rammen Velg stil"
"theme_select_descr";"Rammen for stilvalg viser valgfeltet for ønsket stil selv om valget for å bytte stil ikke er aktivert."
"thumb_genned";"Miniatyrbilde(r) er lagd automatisk."
"thumbgen_error";"Klarte ikke å lage miniatyrbilde(r) for "
"thumbnail";"Miniatyrbilde(r)"
"thumbnail_deleted";"Miniatyrbilde-fil er nå slettet."
"thumbnail_not_deleted";"Klarte ikke å slette miniatyrbilde-fil."
"thumbs_deleted";"Mappen for minityrbildene er nå slettet."
"thumbs_not_deleted";"Mappen for minityrbildene ble ikke slettet."
"thursday";"torsdag"
"thursday_1st";"To"
"time_format";"Tid-format"
"time_limit";"PHP tidsbegrensning"
"timeline_chart";"Tidslinje"
"timeline_instructions";"- <i><b>PS!</b>  Du kan flytte på boksene under ved hjelp av musa!</i> (I de nyeste nettleserne)"
"timeline_title";"Genmod tidslinje"
"timeout_error";"FEIL: Fant ikke noen slektslinje innenfor fastsatt søketid."
"title";"Tittel:"
"titles_found";"Titler"
"to";"til"
"to_family";"Til familie"
"to_person";"Til person"
"to_source";"Til kilde"
"today";"I dag"
"todays_events_block";"Rammen Årsdag for hendelser i slekten"
"todays_events_descr";"Rammen for Årsdag for hendelser viser en personliste som er knyttet til hendelser i den aktive slektsfilen dagen i dag.  Dersom det ikke er noen hendelser, vises heller ikke rammen.  På "din" GedView side vil denne rammen bare vise levende personer.  På hovedsiden vil alle personer / familier bli vist (NB. Her vil personvern-valg kunne redusere listen)."
"tools_readme";"Se verktøy/rutine-delen i <a href="readme.txt" target="_blank">readme.txt</a>-filen for mer informasjon."
"top10_pageviews";"Vist flest ganger"
"top10_pageviews_block";"Rammen Vist flest ganger"
"top10_pageviews_descr";"Denne rammen vil vise de 10 mest viste personen/familiene.  Denne rammen krever at telleren er aktivert i innstillingene for konfigurasjonen for slektsfilen."
"top10_pageviews_msg";"Telleren må aktiveres i konfigurasjonen for slektsfilen for at denne rammen skal virke."
"top10_pageviews_nohits";"Det er ingen treff for denne siden."
"top_level";"Lands-/toppnivå"
"total_dead";"Antall døde"
"total_fams";"Antall familier"
"total_indis";"Antall personer"
"total_living";"Antall levende"
"total_memory_usage";"Totalt bruk av minne:"
"total_names";"Antall navn"
"total_not_born";"Antall ikke født enda"
"total_places";"steder funnet"
"total_privacy_checks";"- Antall kontroller av personvern: "
"total_queries";"Antall søk i databasen:"
"total_repositories";"Antall oppbevaringssteder"
"total_sources";"Antall kilder"
"total_unic_places";"Antall unike steder"
"translation_forum";"Forum for oversettere av Genmod"
"translation_forum_desc";"<center>På nettstedet til Genmod på SourceForge.net er det et <a href="http://sourceforge.net/forum/forum.php?forum_id=294245" alt="Gå til forum i nytt vindu" title="Gå til forum i nytt vindu" target=_blank><b><i>Forum for oversettere</i></b></a><br />der du kan se på og/eller bidra med aktuelle problemstillinger   :-)</center>"
"translator_tools";"Verktøy for å oversette"
"tuesday";"tirsdag"
"tuesday_1st";"Ti"
"twin";"Tvilling"
"twin_brother";"Tvillingbror"
"twin_sister";"Tvillingsøster"
"type";"Type"
"type_audio";"Lyd"
"type_book";"Bok"
"type_card";"Kort"
"type_electronic";"Elektronisk"
"type_fiche";"Fil"
"type_film";"Film"
"type_magazine";"Magasin"
"type_manuscript";"Manuskript"
"type_map";"Kart"
"type_newspaper";"Avis"
"type_photo";"Foto"
"type_tombstone";"Gravstein"
"type_video";"Video"
"um_backup";"Sikkerhetskopi"
"um_bu_config";"Genmod konfigurasjonsfil"
"um_bu_explain";"Her kan du lage en sikkerhetskopi av forskjellige data i Genmod.<br /><br />Dataene som du velger å ta sikkerhetskopi av, vil bli samlet i en ZIP-fil,<br />som det også er mulig å laste ned (download) ved å klikke på valget nederst på siden, etter at sikkerhetskopieringen er utført.<br /><br />ZIP-filen vil forbli i Index-mappen din til du fjerner den manuellt."
"um_bu_gedcoms";"GEDCOM-filer"
"um_bu_gedsets";"GEDCOM-innstillinger, konfigurasjon og personvern-filer"
"um_bu_lang";"Språkinnstillinger og utvidede språkfiler"
"um_bu_logs";"GEDCOM tellere, søke-logger og Genmod logg-filer"
"um_bu_usinfo";"Bruker-definisjoner, ramme-innstillinger, favoritter, beskjeder og nyheter"
"um_creating";"Oppretter"
"um_export";"Eksport"
"um_file_create_fail1";"Klarte ikke å opprette filen fordi en fil med samme navn finnes fra før:"
"um_file_create_fail2";"Klarte ikke å opprette filen"
"um_file_create_fail3";"Sjekk rettighetene for å opprette en fil i denne katalogen."
"um_file_create_succ1";"Den nye filen er lagret:"
"um_file_not_created";"Filen ble ikke lagd."
"um_files_exist";"En eller flere filer finnes fra før. Ønsker du å overskrive dem?"
"um_header";"Verktøy for konvertering til annen database"
"um_imp_blocks";"Importerer rammer"
"um_imp_fail";"Importen ble ikke fullført"
"um_imp_favorites";"Importerer favoritter"
"um_imp_messages";"Importerer beskjeder"
"um_imp_news";"Importerer nyheter"
"um_imp_succ";"Importen er utført"
"um_imp_users";"Importerer brukere"
"um_import";"Import"
"um_mk_bu";"Lag sikkerhetskopi"
"um_mk_res";"Start gjenoppretting"
"um_noaction";"Det er ikke nødvendig å konvertere bruker-informasjon til SQL-modus nå.<br /><br />Når du har forandret oppsett til SQL-modus, må du imidlertid utføre konverteringen for å importere alle data inn i SQL-databasen.  Genmod da bruke de eksisterende filene fra Index-modus.<br /><br /><b>PS! <u>Ikke</u> fjerne filen <i>authenticate.php</i> og <i>.dat</i> filene fra index-mappen din under bytte-prosessen.</b><br />"
"um_noblocks";"Kunne ikke finne noen "Rammer" lagret i systemet."
"um_nofav";"Kunne ikke finne noen "Favoritter" lagret i systemet."
"um_nofiles";"Ingen filer funnet for sikkerhetskopiering."
"um_nomsg";"Kunne ikke finne noen "Beskjeder" lagret i systemet."
"um_nonews";"Kunne ikke finne noen "Nyheter" lagret i systemet."
"um_nousers";"Fant ikke filen <i>authenticate.php</i> katalogen ./index. Overføringen er avbrutt."
"um_proceed";"Starte eksport av datafilene om brukeren?<br /><br />"
"um_res_changes";"Gjenopprett GEDCOM endringer som venter på godkjenning"
"um_res_counters";"Gjenopprett tellere for besøk"
"um_res_errors";"Det oppstod feil under gjenopprettingen. Klikk for å se system-loggen for mer informasjon."
"um_res_gedsets";"Gjenopprett GEDCOM-innstillinger, konfigurasjon og personvern-filer"
"um_res_logs";"Gjenopprett logg-filer for søk, GEDCOM og Genmod"
"um_res_nofiles";"Fant ingen filer for å gjenopprette index-mappen din"
"um_res_nooptions";"Velg hvilke data som skal gjenopprettes"
"um_res_success";"Gjenopprettingen av valgte data er utført."
"um_res_usinfo";"Gjenopprett brukerdefinisjoner, rammeinnstillinger, favoritter, beskjeder og nyheter"
"um_restore";"Gjenopprett"
"um_results";"Resultater"
"um_zip_dl";"Hent ZIPet sikkerhetskopi-fil "
"um_zip_succ";"ZIP-fil er nå lagd."
"unable_to_create_index";"<b>Indeksfil kan ikke opprettes.</b><br />Sørg for nødvendige skrive-tillatelser i Genmod mappen (index).<br />Skrivebeskyttelsen kan evt. etableres igjen når indeksfilene er opprettet."
"unable_to_find_family";"Kan ikke finne familien med id "
"unable_to_find_indi";"Kan ikke finne personen med id "
"unable_to_find_privacy_indi";"Kan ikke finne person med ID "
"unable_to_find_record";"Kan ikke finne oppføringen med id "
"unable_to_find_repo";"Kan ikke finne oppbevaringssted med id "
"unable_to_find_source";"Kan ikke finne kilden med id "
"unable_to_open";"Kan ikke kopiere til utklippsmappen"
"uncle";"Onkel"
"undo";"Angre"
"unknown";"Ukjent"
"unlink_list";"Liste Ikke koblede"
"unmatching_facts";"Følgende faktafelt har forskjellig innhold.  Velg de opplysningene du ønsker å beholde."
"unrecognized_code";"Ukjent kode i slektsfilen"
"unrecognized_code_msg";"Dette er en feil som vi ønsker å rette på. Vennligst rapporter denne feilen til"
"upcoming_events";"Kommende begivenheter"
"upcoming_events_block";"Rammen Kommende begivenheter"
"upcoming_events_descr";"Rammen for kommende begivenheter viser en liste med begivenheter i den aktive slektsfilen som vil skje de neste 30 dagene.  For en bruker vil denne rammen bare vise levende personer.  På hovedsiden vil alle personer/familier bli vist (NB. Her vil personvern-valg kunne redusere listen)."
"update_address";"Oppdater adresse"
"update_fact";"Oppdater en faktaopplysning"
"update_fact_restricted";"Oppdatering av denne er begrenset:"
"update_myaccount";"Oppdater Min konto"
"update_name";"Oppdater navn"
"update_photo";"Oppdater bilde"
"update_successful";"Oppdatering er utført"
"update_user";"Oppdater brukerkonto"
"updating_family_names";"Oppdaterer familienavn for FAM"
"updating_is_dead";"Oppdaterer statusen "Er død" for personer"
"updating_linked";"Oppdaterer data som er knyttet til denne"
"upgrade";"Oppgrader Genmod"
"upload";"Hent (upload)"
"upload_error";"Det oppstod en FEIL under henting (upload) av filen din."
"upload_file";"Hent (upload) fil fra datamaskinen din"
"upload_gedcom";"Hente (upload) slektsfil(er) (GEDCOM)"
"upload_media";"Hent (upload) bilde- / mediefiler"
"upload_path";"Sti ved opplastning (upload)"
"upload_successful";"Overføring (upload) er utført"
"upload_to_index";"Hent (upload) filen til din index-katalog:"
"urgent";"Viktige nyheter"
"url";"URL"
"use_blocks_for_default";"Bruke dette ramme-oppsettet som standard for alle brukere?"
"user";"Godkjent bruker"
"user_admin";"Brukere og rettigheter"
"user_auto_accept";"Godta automatisk endringer gjort av denne brukeren"
"user_cannot_edit";"Dette brukernavnet har ikke rettigheter til å endre denne slektsbase."
"user_contact_method";"Ønsket kontaktmetode"
"user_create_error";"Bruker kan ikke opprettes. Gå tilbake og prøv på nytt."
"user_created";"Bruker er opprettet."
"user_default_tab";"Arkfanen som skal vises som standard på faktasiden til personer"
"user_favorites_block";"Rammen Brukeres favoritter-personer"
"user_favorites_descr";"Rammen for brukeres Favoritter viser en liste med deres egne "favoritt-personer" i slekten slik at de lett kan finnes igjen."
"user_info";"Min brukerinformasjon"
"user_manual";"Brukerdokumentasjon"
"user_messages_block";"Rammen Bruker-beskjeder"
"user_messages_descr";"Rammen for bruker-beskjeder viser en liste med beskjeder som har blitt sendt til de aktive brukerne."
"user_name";"Brukernavn"
"user_news_block";"Rammen Notatblokk for bruker"
"user_news_descr";"Rammen med en notatblokk lar den enkelte bruker legge inn notater eller som en online-oppslagstavle."
"user_not_found";"Kunne ikke gjenkjenne opplysningene du oppga! Gå tilbake og prøv igjen."
"user_path_length";"Maks antall ledd for personvern for slektninger"
"user_privacy";"Personvern-innstillinger for brukere"
"user_relationship_priv";"Begrens tilgangen til slektninger"
"user_theme";"Min stil"
"user_verify";"Bruker-godkjenning"
"username";"Brukernavn"
"useropt_conf";"Bruker-valg"
"users_admin";"Administratorer til nettstedet"
"users_gedadmin";"Administratorer til slektsfilen"
"users_langs";"Språkene til brukere"
"users_logged_in";"Brukere som er pålogget"
"users_total";"Totalt antall brukere"
"users_unver";"Ikke bekreftet av bruker"
"users_unver_admin";"Ikke bekreftet av administrator"
"usr_deleted";"Slettet user: "
