"ABBREVIATE_CHART_LABELS";"קצר תגים בתרשימים"
"register_info_03";"~בקשת קוד משתמש חדש~<br /><br />יתכן שכמות המידע שניתן לראות בגלוי באתר זה מוגבלת בהתאם לחוקים הקשורים להגנת הפרטיות. אנשים רבים אינם רוצים שנתונים אישיים שלהם יהיו ניתנים לצפייה בגלוי באינטרנט. יתכן שיעשה שימוש לרעה בנתונים אישיים או גניבת זהות.<br /><br />גישה לאתר זה מותרת <u>לבני משפחה בלבד</u>. לאחר בדיקת נתוניך על ידי המנהלן ואישור בקשת קוד המשתמש, תוכל להתחבר למערכת.<br /><br />אם תופעל פרטיות של קרובי משפחה, תוכל לצפות, לאחר שתתחבר, רק בנתוני קרובי המשפחה שלך. המנהלן יכול לאפשר עדכון מאגר הנתונים למשתמשים מסויימים, כך שהם יכולים לשנות או להוסיף נתונים.<br /><br />אם הנך זקוק לסיוע נוסף, השתמש בקישור שלמטה כדי להתקשר למנהלן.<br /><br />"
"registernew";"אישור משתמש חדש"
"registry_officer";"ממונה על רישום"
"rela_husb";"קירבה לבעל"
"rela_wife";"קירבה לאישה"
"relationship_chart";"קירבה משפחתית"
"relationship_to_me";"קירבה אלי"
"relatives";"קרובי משפחה"
"relatives_events";"ארועים של קרובי משפחה"
"relatives_report";"דו"ח קרובים"
"remember_me";"זכור אותי בגישה ממחשב זה?"
"remove";"הסר"
"remove_child";"הסר ילד זה מהמשפחה"
"remove_custom_tags";"הסר נתוני GM הפרטיים? (למשל <span dir="ltr">_GMU, _THUM</span>)"
"remove_person";"הסר אדם"
"reorder_children";"סדר מחדש את הילדים"
"reorder_families";"סדר מחדש את המשפחות"
"replace";"החלפת רשומה"
"reply";"ענה"
"repo_contains";"מאגר מכיל:"
"repo_info";"נתוני מאגר"
"repo_list";"רשימת מאגרים"
"repo_name";"שם מאגר:"
"reports";"דו"חות"
"repos_found";"נמצאו מאגרים"
"requestaccount";"בקש קוד משתמש חדש"
"requestpassword";"בקש סיסמא חדשה"
"research_log";"יומן מחקר"
"reset";"אפס"
"reset_default_blocks";"החזר את האזורים למצב ברירת המחדל"
"resolution";"רזולוצית המסך"
"restore_faq_edits";"שחזר פונקציונליות של עריכת FAQ"
"return_editconfig_gedcom";"תוכל לחזור להגדרה זו מתי שתרצה ע"י לחיצה על קישור: <b>ערוך</b> הנימצאת בטבלת <b>#gm_lang[current_gedcoms]#</b> על הדף <b>#gm_lang[gedcom_adm_head]#</b> או ע"י הפניית הדפדפן שלך לקובץ ה-</i>editconfig_gedcom.php</i>.<br />"
"review_changes";"סקור שינויי GEDCOM"
"review_changes_block";"שינויים תלויים ועומדים"
"review_changes_body";"שינויי און-ליין נעשו במאגר חקר המשפחה. את השינויים יש לבדוק ולאשר כדי שכל המשתמשים יראו אותם. השתמש בכתובת URL למטה כדי להכנס לאתר ה-Genmod הזה להתחברות ובדיקת השינויים."
"review_changes_descr";"אזור השינויים שלא התקבלו מראה למשתמשים בעלי הרשאת עדכון את הרשומות ששונו באון ליין ושיש עדיין לבדוק ולאשר אותן. השינויים ממתינים לאישור או דחייה.<br /><br />אם האזור פעילה, אז המשתמשים בעלי הרשאת אישור יקבלו דואר אלקטרוני פעם ביום עם הודעה שיש שינויים לבדיקה."
"review_changes_email";"שלח תזכורת בדואר אלקטרוני?"
"review_changes_email_freq";"תדירות (ימים) תזכורת בדואר אלקטרוני"
"review_changes_subject";"Genmod - סקור שינויי"
"right_section";"האזורים הימניים"
"root_person";"קוד הזיהוי של אדם המוצא"
"rootid";"אדם ההתחלה באילן היוחסין"
"rss_descr";"חדשות וקישורים מאתר ה-#GEDCOM_TITLE# "
"rss_feeds";"הזנות RSS"
"rss_logo_descr";"ההזנה נוצרה ע"י Genmod"
"rtl";"ימין לשמאל"
"run_report";"הרץ דו&quot;ח"
"run_tools";"האם ברצונך להריץ אחד הכלים הבאים לפני ייבוא קובץ ה-GEDCOM שלך:"
"same_ids";"הכנסת קוד זיהוי זהה. לא ניתן למזג רשומה זהה."
"saturday";"שבת"
"saturday_1st";"ש"
"save";"שמור"
"save_and_import";"-אחרי שתשמור תצורת הGEDCOM תצטרך לייבא את ה-GEDCOM ע"י לחיצה על כפתור <b>ייבא GEDCOM</b> או ע"י מעבר ל<b>ניהול->ניהול GEDCOM-ים->ייבא</b>"
"save_changed_settings";"שמור שינויים"
"save_config";"שמור תצורה"
"savedata";"שמור על הנתונים ששונו"
"savelang";"שמור"
"sealing";"אישור"
"search";"חפש"
"search_DM";"דאיטש-מוקוטוף"
"search_asso_label";"שותפים"
"search_asso_text";"הראה אנשים/משפחות קשורים"
"search_fams";"משפחות"
"search_gedcom";"חפש קיבצי GEDCOM"
"search_geds";"חפש ב-GEDCOM-ים"
"search_general";"חיפוש כללי"
"search_indis";"אנשים"
"search_inrecs";"חפש"
"search_more_chars";"נא הכנס יותר מתו אחד"
"search_options";"אפשרויות חיפוש"
"search_place";"מקום"
"search_prtall";"כל השמות"
"search_prthit";"שמות שנמצאו"
"search_prtnames";"שמות אנשים<br />להדפסה:"
"search_russell";"ראסל"
"search_soundex";"חיפוש סאונדקס"
"search_soundextype";"סוג סאונדקס:"
"search_sources";"מקורות"
"search_tagfilter";"פילטר סינון"
"search_tagfoff";"ללא פילטר"
"search_tagfon";"סנן חלק מהנתונים שאינם של חקר המשפחה"
"search_type";"סוג חיפוש"
"search_year";"שנה"
"searchtype";"צורת חיפוש"
"sec";"שניות."
"security_no_create";"התרעת ביטחון: קובץ <b><i>index.php</i></b> לא קיים בתוך "
"security_not_exist";"התרעת ביטחון: לא ניתן ליצור <b><i>index.php</i></b> בתוך "
"select_an_option";"בחר באפשרות:"
"select_date";"בחר תאריך"
"select_fact";"בחר עובדה..."
"select_gedcom_records";"בחר שתי רשומות GEDCOM למיזוג. הרשומות חייבות להיות מאותו סוג."
"select_privacyfile_button";"בחר קובץ פרטיות"
"select_report";"בחר דו&quot;ח"
"selected_report";"דו"ח נבחר"
"send";"שלח"
"sending_to";"ההודעה תשלח ל-#TO_USER#"
"sep";"ספטמבר"
"servant";"משרת"
"server_url_note";"זה צריך להיות ה-URL לתיקיית ה-Genmod שלך. שנה אותו רק אם אתה בטוח שאתה יודע מה שאתה עושה. Genmod חישב ערך <b><span dir="ltr">#GUESS_URL#</span></b>"
"set_link";"הצב קישור"
"sex";"מין"
"show";"הצג"
"show_age";"הראה נקודת ציון של גיל"
"show_basic";"הדפס אירועים בסיסיים ריקים?"
"show_changes";"הרשומה עודכנה. הקש כדי לראות את השינויים."
"show_cousins";"הראה בני דוד"
"show_details";"הצג פרטים"
"show_empty_block";"האם להחביא את האזור כאשר הוא ריק?"
"show_notes";"הצג הערות?"
"show_path";"הראה את הנתיב"
"show_photos";"הראה תמונות?"
"show_phpinfo";"הראה דף מידע על PHP"
"show_place_hierarchy";"הראה מקומות בצורה היררכית"
"show_place_list";"הראה את כל המקומות ברשימה"
"show_question";"הראה?"
"show_spouses";"הצג בני זוג"
"show_surnames";"הצג רשימות שמות המשפחה"
"show_thumbnail";"הראה תמונות מיזעריות"
"showcal";"הראה:"
"sibling";"אח/אחות"
"siblings";"אח/אחות"
"sister";"אחות"
"sister-in-law";"גיסה"
"site_default";"ברירת מחדל"
"siteadmin";"מנהלן אתר"
"skip_cleanup";"דלג על ניקיון"
"skip_surnames";"דלג על רשימות שמות המשפחה"
"slk_list";"רשימת EXCEL SLK"
"son";"בן"
"son-in-law";"חתן"
"sorry";"<b>מצטערים, טכסט עזרה לדף או פריט זה עדיין לא מוכן</b>"
"sort_by";"מיין לפי"
"sort_by_birth";"מיין לפי תאריכי לידה"
"sort_by_marriage";"מיין לפי תאריך נישואין"
"sosa_10";"סבא רבא"
"sosa_11";"סבתא רבתא"
"sosa_12";"סבא רבא"
"sosa_13";"סבתא רבתא"
"sosa_14";"סבא רבא"
"sosa_15";"סבתא רבתא"
"sosa_16";"N/A"
"sosa_17";"N/A"
"sosa_18";"N/A"
"sosa_19";"N/A"
"sosa_2";"אבא"
"sosa_20";"N/A"
"sosa_21";"רבתא"
"sosa_22";"רבא"
"sosa_23";"של "
"sosa_24";"N/A"
"sosa_25";"N/A"
"sosa_26";"N/A"
"sosa_27";"N/A"
"sosa_28";"N/A"
"sosa_29";"N/A"
"sosa_3";"אמא"
"sosa_30";"N/A"
"sosa_31";"N/A"
"sosa_32";"N/A"
"sosa_33";"N/A"
"sosa_34";"N/A"
"sosa_35";"N/A"
"sosa_36";"N/A"
"sosa_37";"N/A"
"sosa_38";"N/A"
"sosa_39";"N/A"
"sosa_4";"סבא"
"sosa_40";"N/A"
"sosa_41";"N/A"
"sosa_42";"N/A"
"sosa_43";"N/A"
"sosa_44";"N/A"
"sosa_45";"N/A"
"sosa_46";"N/A"
"sosa_47";"N/A"
"sosa_48";"N/A"
"sosa_49";"N/A"
"sosa_5";"סבתא"
"sosa_50";"N/A"
"sosa_51";"N/A"
"sosa_52";"N/A"
"sosa_53";"N/A"
"sosa_54";"N/A"
"sosa_55";"N/A"
"sosa_56";"N/A"
"sosa_57";"N/A"
"sosa_58";"N/A"
"sosa_59";"N/A"
"sosa_6";"סבא"
"sosa_60";"N/A"
"sosa_61";"N/A"
"sosa_62";"N/A"
"sosa_63";"N/A"
"sosa_7";"סבתא"
"sosa_8";"סבא רבא"
"sosa_9";"סבתא רבתא"
"soundex_search";"- חפש לפי האיות שאתה משער (סאונדקס):"
"source";"מקור"
"source_complete";"עדכון קובץ אינדקס המקורות הסתיים."
"source_contains";"מקור מכיל:"
"source_downloaded_from";"המקור הורד מהאתר:"
"source_info";"נתוני מקור"
"source_list";"רשימת המקורות"
"source_menu";"בחירות עבור מקור"
"source_name";"שם מקור:"
"sources";"מקורות"
"sources_found";"מקורות נמצאו"
"spouse";"בן/בת זוג"
"spouse-family";"בן/בת זוג וילדים"
"ssourcess";"מקורות"
"standard_conf";"מאפייני תצורה בסיסיים"
"start_at_parents";"התחל מההורים"
"starts_with";"מתחיל ב:"
"stat_10_none";"כלום"
"stat_11_mb";"חודש לידה"
"stat_12_md";"חודש פטירה"
"stat_13_mm";"חודש הנישואין"
"stat_14_mb1";"חודש של לידת הילד/ה הראשון/נה ביחס"
"stat_15_mm1";"חודש הנישואין הראשונים"
"stat_16_mmb";"חודשים בין נישואין לילד הראשון."
"stat_17_arb";"גיל ביחס לשנת לידה."
"stat_18_ard";"גיל ביחס לשנת פטירה."
"stat_19_arm";"גיל בשנת הנישואין."
"stat_200_none";"הכל (או ריק)"
"stat_201_num";"ספרות"
"stat_202_perc";"אחוז"
"stat_20_arm1";"גיל בנישואין הראשונים."
"stat_21_nok";"מספר ילדים."
"stat_300_none";"כלום"
"stat_301_mf";"זכר/נקבה"
"stat_302_cgp";"תקופות - סמן הערכים של תקופות על ציר ה-x"
"stat_earliest_birth";"שנת לידה המוקדמת ביותר"
"stat_families";"משפחות, "
"stat_gax";"סמן הערכים של הגיל"
"stat_gmx";"סמן הערכים של החודשים"
"stat_gnx";"סמן הערכים של הספרות"
"stat_individuals";"אנשים, "
"stat_latest_birth";"שנת לידה המאוחרת ביותר"
"stat_other";"רשומות אחרות"
"stat_sources";"מקורות, "
"statar_xga";"ערכים עבור ספרות (ציר x):"
"statar_xgl";"ערכים עבור גילים (ציר x):"
"statar_xgm";"ערכים עבור חודש (ציר x):"
"statar_xgp";"ערכים עבור תקופות (ציר x):"
"statar_zgp";"ערכים עבור תקופות (ציר z):"
"statistics";"סטטיסטיקות"
"statlxa";"לאורך ציר ה-x:"
"statlya";"לאורך ציר ה-y:"
"statlza";"לאורך ציר ה-z:"
"statmess1";"<b>מלא את השורות הבאות אשר מתיחסות לערכים קודמים של ציר x או z</b>"
"statnfam";"מספר משפחות  ="
"statnfemale";"מספר נשים    ="
"statnmale";"מספר גברים   ="
"statnnames";"מספר שמות    ="
"statreset";"אפס"
"statsubmit";"הצג תרשים"
"status";"מצב"
"statutci";"לא ניתן ליצור אינדקס"
"statvars";"מלא את הערכים הבאים עבור התרשים"
"step1";"שלב 1 מתוך 4:"
"step2";"שלב 2 מתוך 4:"
"step3";"שלב 3 מתוך 4:"
"step4";"שלב 4 מתוך 4:"
"stepbrother";"אח חורג"
"stepdad";"אב חורג"
"stepfamily";"משפחה חורגת"
"stepmom";"אם חורגת"
"stepsister";"אחות חורגת"
"still_living_error";"הנתונים על אנשים חיים מוסתרים לקהל הרחב.<br />לפרטים נוספים התקשרו אל אדם זה חי עדיין או שנתוני הלידה או המוות שלו אינם רשומים."
"stillborn";"נולד מת"
"stpl";"..."
"stplGDno";"תיקית Graphics Display אינה קיימת ב-PHP 4. פנה למינהלן המערכת"
"stplage";"גיל"
"stplgzas";"גבולות ציר z:"
"stplinfo";"נתוני תרשים:"
"stplipot";"/ תקופת זמן"
"stpljpgraphno";"מודולי JPgraph אינם קיימים בתיקיית <i>Genmod/jpgraph/</i>. ניתן להוריד אותם מ-http://www.aditus.nu/jpgraph/jpdownload.php<br> <h3>התקן תחילה JPgraph בתיקייה <i>Genmod/jpgraph/</i></h3><br>"
"stplmf";"/ מין"
"stplmonth";"חודש"
"stplnoim";"לא מיושם:"
"stplnumbers";"ספרות"
"stplperc";"אחוז"
"stpltype";"סוג:"
"subtractions";"הורדות"
"suffix";"סיומת:"
"sunday";"ראשון"
"sunday_1st";"א"
"support_contact";"קשר לסיוע טכני"
"surname";"שם משפחה:"
"surnames";"שמות משפחה"
"sync_gedcom";"סנכרן הגדרות משתמש עם נתוני GEDCOM"
"system_time";"זמן מערכת נוכחי:"
"tables_exist";"טבלאות Genmod נמצאות כבר במאגר הנתונים. "
"temple";"מקדש מורמונים "
"temple_code";"קוד של מקדש מורמונים:"
"text";"טקסט מקור:"
"text_direction";"כיוון הטכסט"
"thankyou";"שלום #user_fullname# ...<br />תודה שנרשמת."
"theme_select_block";"בחירת עיצוב"
"theme_select_descr";"האזור לבחירת עיצוב מציג את תיבת הבחירה גם אם שינוי העיצוב אינו פעיל."
"thumb_genned";"תמונה מזערית #thumbnail# נוצרה אוטומטית."
"thumbgen_error";"לא ניתן ליצור בצורה אוטומטית תמונה מזערית #thumbnail#."
"thumbnail";"תמונה ממוזערת"
"thumbnail_deleted";"קובץ תמונה מזערית נמחק בהצלחה."
"thumbnail_not_deleted";"לא ניתן למחוק את קובץ התמונה המזערית."
"thumbs_deleted";"תיקיית התמונות המזעריות הוסרה בהצלחה."
"thumbs_not_deleted";"תיקיית התמונות המזעריות לא הוסרה."
"thursday";"חמישי"
"thursday_1st";"ה"
"time_format";"מבנה זמן"
"time_limit";"הגבלת זמן של PHP"
"timeline_chart";"תרשים קו הזמן"
"timeline_instructions";"ברוב תוכנות הגלישה החדשות ניתן להקיש ולגרור קופסאות על התרשים."
"timeline_title";"תרשים קו הזמן של Genmod"
"timeout_error";"החיפוש ארך יותר מידי זמן."
"title";"כותרת/תואר"
"titles_found";"כותרות"
"to";"עד"
"to_family";"למשפחה"
"to_person";"לאדם"
"to_source";"למקור"
"today";"היום"
"todays_events_block";"ביום הזה"
"todays_events_descr";"אזור ביום הזה - בהיסטוריה שלך ... מראה רשימה של ארועים שהתרחשו היום. אם אין אירועים, תוכל לקבוע את כמות הנתונים שתראה."
"tools_readme";"ראה את פרק הכלים בקובץ <a href="readme.txt">readme.txt</a> לקבלת מידע נוסף."
"top10_pageviews";"הפריטים הנצפים ביותר"
"top10_pageviews_block";"הפריטים הנצפים ביותר"
"top10_pageviews_descr";"אזור זה מציג את עשרת הרשומות הכי נצפות. מונה הפגיעות בהגדרת התצורה של ה-GEDCOM חיב לפעול כדי שהאזור יהיה פעיל."
"top10_pageviews_msg";"יש להפעיל את המונים בתצורת קובץ ה-GEDCOM כדי שהאזור תעבוד."
"top10_pageviews_nohits";"כרגע אין פגיעות שניתן להציג."
"top_level";"רמה עליונה"
"total_dead";"סה"כ מתים"
"total_fams";"מספר המשפחות"
"total_indis";"מספר האנשים"
"total_living";"סה"כ חיים"
"total_memory_usage";"סה"כ שימוש בזיכרון:"
"total_names";"סה"כ שמות"
"total_not_born";"סה"כ שלא נולדו עדיין"
"total_places";"נמצאו מקומות"
"total_privacy_checks";"סה"כ מספר בדיקות הפרטיות: "
"total_queries";"סה"כ מספר השאילתות על מסד הנתונים:"
"total_repositories";"סה"כ מאגרים"
"total_sources";"סה"כ מקורות"
"total_unic_places";"סה"כ מקומות שונים"
"translation_forum";"פורום התרגומים של Genmod על SourceForge"
"translation_forum_desc";"<a href="http://sourceforge.net/forum/forum.php?forum_id=294245" target=_blank><b>הקישור הזה</b></a> פותח חלון גלישה חדש. אתה תופנה לפורום התרגום של Genmod ובו תוכל לשוחח על בעיות מיוחדות הקשורות לתרגומים."
"translator_tools";"כלים של מתרגם"
"tuesday";"שלישי"
"tuesday_1st";"ג"
"twin";"תאום/תאומה"
"twin_brother";"אח תאום"
"twin_sister";"אחות תאומה"
"type";"סוג"
"um_backup";"גיבוי"
"um_bu_config";"קובץ תצורה של Genmod"
"um_bu_explain";"כלי זה יכול ליצור גיבוי לסוגי נתונים שונים של Genmod.<br /><br />הנתונים שתחליט לגבות יאספו בקובץ ZIP, שאותו תוכל להוריד על ידי לחיצה על הקישור בתחתית הדף לאחר שהגיבוי יסתיים בהצלחה.<br /><br />קובץ ה-ZIP ישמר בתיקית ה-Index שלך עד שתסיר אותו בצורה ידנית.<br />"
"um_bu_gedcoms";"קבצי GEDCOM"
"um_bu_gedsets";"קבצי הגדרות, תצורה ופרטיות של GEDCOM"
"um_bu_logs";"מוני GEDCOM, קבצי לוג של חיפוש וקבצי לוג של Genmod"
"um_bu_usinfo";"הגדרות משתמש, הגדרות אזורים, מועדפים, הודעות, חדשות"
"um_creating";"יוצר"
"um_export";"ייצא"
"um_file_create_fail1";"יצירת קובץ חדש נכשלה - קיים כבר קובץ בשם הזה:"
"um_file_create_fail2";"לא ניתן ליצר"
"um_file_create_fail3";"בדוק הרשאות גישה לתיקיה הזו."
"um_file_create_succ1";"קובץ חדש נוצר בהצלחה:"
"um_file_not_created";"קובץ לא נוצר."
"um_files_exist";"קובץ אחד או יותר קיימים כבר. האם אתה רוצה לעלות עליהם?"
"um_header";"כלי להגירת נתוני משתמשים"
"um_imp_blocks";"מיבא אזורים"
"um_imp_fail";"היבוא נכשל"
"um_imp_favorites";"מיבא מועדפים"
"um_imp_messages";"מיבא הודעות"
"um_imp_news";"מיבא חדשות"
"um_imp_succ";"היבוא עבר בהצלחה"
"um_imp_users";"מיבא משתמשים"
"um_import";"ייבא"
"um_mk_bu";"צור גיבוי"
"um_noaction";"אין צורך בפעולה כלשהי להגירת נתוני משתמשים לצורת SQL.<br /><br />כאשר תעבור לצורת SQL, תצטרך להפעיל שנית את כלי הגירת המשתמשים כדי לייבא את כל הנתונים למאגר נתוני SQL.  Genmod ישתמש בקבצים הקיימים בצורת האינדקס.<br /><br /><b><u>אין</u> למחוק <i>authenticate.php</i> וקבצי <i>.dat</i> מתיקית ה- index שלך בזמן המעבר.</b><br />"
"um_noblocks";"נראה שאין אזורים במערכת."
"um_nofav";"נראה שאין מועדפים במערכת."
"um_nofiles";"לא נמצאו קבצים לגיבוי."
"um_nomsg";"נראה שאין הודעות במערכת."
"um_nonews";"נראה שאין חדשות במערכת."
"um_nousers";"קובץ <i>authenticate.php</i> לא נמצא בתיקית ה-index שלך. ההגירה מבוטלת."
"um_proceed";"בחר אופציה או לחץ על הקישור למטה כדי לחזור לתפריט הניהול<br /><br />"
"um_results";"תוצאות"
"um_zip_dl";"הורד קובץ גיבוי במבנה ZIP "
"um_zip_succ";"קובץ ZIP נוצר בהצלחה."
"unable_to_create_index";"לא ניתן ליצור קובץ אינדקסים. וודא שקיימות הרשאות לתיקיה Genmod. את ההרשאות ניתן לשנות אחרי שקבצי האינדקס יכתבו."
"unable_to_find_family";"לא נמצאת משפחה עם קוד זיהוי"
"unable_to_find_indi";"לא נימצא אדם עם קוד זיהוי"
"unable_to_find_privacy_indi";"לא נימצא אדם עם קוד זיהוי"
"unable_to_find_record";"לא נמצאת רשומה עם קוד זיהוי"
"unable_to_find_repo";"לא נימצא מאגר עם קוד זיהוי"
"unable_to_find_source";"לא נימצא מקור עם קוד זיהוי"
"unable_to_open";"לא ניתן לפתוח את תיקיית הגזרים לכתיבה."
"uncle";"דוד"
"undo";"בטל"
"unknown";"לא ידוע"
"unmatching_facts";"העובדות הבאות אינן זהות. בחר את המידע שברצונך לשמור."
"unrecognized_code";"קוד GEDCOM לא מוכר"
"unrecognized_code_msg";"זו שגיאה שברצוננו לתקן. דווח לנו על השגיאה הזו."
"upcoming_events";"אירועים קרובים"
"upcoming_events_block";"ארועים קרובים"
"upcoming_events_descr";"אזור ארועים קרובים מראה רשימה של אירועים שיתרחשו בקרוב. תוכל לקבוע את כמות הנתונים שתראה, והמנהלן יכול לקבוע את תחום הזמן הקובע לאזור."
"update_address";"עדכן כתובת"
"update_fact";"עדכן עובדה"
"update_fact_restricted";"עדכון של עובדה זו מוגבל:"
"update_myaccount";"עדכן המשתמש שלי"
"update_name";"עדכן שם"
"update_photo";"עדכן תמונה"
"update_successful";"העדכון הצליח"
"update_user";"עדכן נתוני המשתמש"
"updating_family_names";"עדכון שמות משפחה עבור FAM "
"updating_is_dead";"עדכון האדם נכשל"
"updating_linked";"מעדכן רשומה קשורה"
"upgrade";"שדרג Genmod"
"upload";"העלה"
"upload_error";"התגלתה שגיאה בהעלאת הקובץ שלך."
"upload_file";"העלה קובץ מהמחשב שלך"
"upload_gedcom";"העלה GEDCOM"
"upload_media";"העלאת קבצי מדיה"
"upload_path";"נתיב טעינה"
"upload_successful";"ההעלאה הצליחה."
"upload_to_index";"העלה את הקובץ לתיקית האינדקסים שלך: "
"url";"URL"
"use_blocks_for_default";"האם להשתמש באזורים הללו כהגדרה של אזורי ברירת מחדל לכל המשתמשים?"
"user";"משתמש מאושר"
"user_admin";"ניהול משתמשים"
"user_auto_accept";"קבל בצורה אוטומטית את השינויים שמשתמש זה עושה"
"user_cannot_edit";"המשתמש לא יכול לערוך את הקובץ ה-GEDCOM הזה."
"user_contact_method";"שיטת התקשורת המועדפת"
"user_create_error";"לא ניתן להוסיף משתמש. נשא שנית ."
"user_created";"בנית המשתמש הצליחה."
"user_default_tab";"חוצץ ברירת המחדל של דף מידע אישי"
"user_favorites_block";"מועדפים של משתמש"
"user_favorites_descr";"אזור מועדפים של המשתמש מראה למשתמש רשימה של האנשים המועדפים שלו בתוך מאגר המידע כך שיוכל לעבור בקלות בעזרת הקישור אל נתוניהם."
"user_info";"נתוני משתמש שלי"
"user_manual";"ספר הוראות למשתמש Genmod"
"user_messages_block";"הודעות המשתמש"
"user_messages_descr";"אזור הודעות המשתמש מראה רשימה של הודעות שנשלחו למשתמש פעיל."
"user_name";"קוד משתמש"
"user_news_block";"יומן המשתמש"
"user_news_descr";"אזור יומן המשתמש מאפשר למשתמש לשמור הערות או כניסות יומן בתוך המערכת."
"user_not_found";"לא ניתן לאמת את המידע שהכנסת. נסה שנית."
"user_path_length";"האורך המכסימלי של שביל קישור הפרטיות"
"user_privacy";"ערכי פרטיות של משתמשים"
"user_relationship_priv";"הגבלת כניסה רק לקרובי משפחה"
"user_theme";"עיצוב האתר"
"user_verify";"אמות משתמש"
"username";"קוד משתמש"
"useropt_conf";"בחירות משתמש"
"users_admin";"מנהלני האתר"
"users_gedadmin";"מנהלי GEDCOM"
"users_langs";"שפות המשתמשים"
"users_logged_in";"<span dir="ltr">משתמשים מחוברים</span>"
"users_total";"סה"כ משתמשים"
"users_unver";"לא אומת ע"י משתמש"
"users_unver_admin";"לא אומת ע"י מנהלן"
"usr_deleted";"משתמש מחוק: "
"usr_idle";"מספר החודשים מאז ההתחברות האחרונה כדי להתיחס למשתמש כלא פעיל: "
"usr_idle_toolong";"המשתמש לא פעיל זמן רב מידי: "
"usr_no_cleanup";"לא נמצא כלום לנקות"
"usr_unset_gedcomid";"הורד קוד זיהוי GEDCOM עבור "
"usr_unset_rights";"הורד הרשאות GEDCOM עבור "
"usr_unset_rootid";"הורד קוד זיהוי מוצא עבור "
"utf8_to_ansi";"האם ברצונך להסב GEDCOM זה מ-UTF-8 ל-(ANSI (ISO-8859-1?"
"valid_gedcom";"ה-GEDCOM התגלה כתקין. אין צורך בניקיון."
"validate_gedcom";"בדוק GEDCOM"
"var_not_exist";"<span style=font-weight: bold>משתנה השפה לא קיים. דווח על כך, מכיוון שזו שגיאה.</span>"
"verified";"המשתמש אישר את רישומו"
"verified_by_admin";"המשתמש אושר ע"י המנהלן"
"verify_gedcom";"אמת את ה-GEDCOM המעודכן"
"verify_upload_instructions";"נימצא קובץ GEDCOM בעל שם זהה. אם תבחר להמשיך, קובץ ה-GEDCOM הישן יוחלף בקובץ שהעלת ותהליך היבוא יתחיל שוב. אם תבחר לבטל, קובץ ה-GEDCOM הישן ישאר כפי שהיה."
"view";"הצג"
"view_change_diff";"התבונן בשינויים "
"view_changelog";"התבונן בקובץ השינויים changelog.txt"
"view_family";"הצג משפחה"
"view_gedcom";"הצג מידע מ-GEDCOM"
"view_logs";"התבונן בקבצי היומן"
"view_person";"הצג אדם"
"view_readme";"התבונן בקובץ תיעוד readme.txt"
"view_records_in_place";"התבונן בכל הרשומות הנימצאות במקום הזה"
"view_source";"הצג מקור"
"viewday";"הצג יום"
"viewing_url";"ההודעה הזו נשלחה מ-URL הבא:"
"viewmonth";"הצג חודש"
"viewyear";"הצג שנה"
"visibleonline";"גלוי למשתמשים אחרים בהיותו מחובר"
"visitor";"אורח"
"warn_users";"משתמשים עם התראות"
"wednesday";"רביעי"
"wednesday_1st";"ד"
"week_start";"יום תחילת השבוע"
"weekly";"שבועי"
"welcome";"ברוך הבא"
"welcome_block";"ברוכים הבאים של המשתמש"
"welcome_descr";"אזור ברוכים הבאים של המשתמש מראה למשתמש את היום והזמן הנוכחיים, קישורים מהירים לעדכון נתוני קוד המשתמש וקישור לתרשים אילן היוחסין שלו וקישור להתאמת דף הפורטל MyGedView."
"welcome_new";"ברוך הבא לאתר האינטרנט החדש Genmod שלך."
"welcome_new2";"<br /><br />מכיוון שאתה רואה דף זה, התקנת בהצלחה את Genmod על שרת האינטרנט שלך ואתה מוכן לעצב אותו לפי בחירתך.<br /><br />"
"welcome_page";"ברוכים הבאים"
"welcome_text_auth_mode_1";"<center><b>ברוכים הבאים לאתר הזה של חקר שושלת היוחסין</b></center><br />גישה לאתר זה מותרת לכל המשתמשים בעלי קוד משתמש באתר.<br /><br />אם יש לך קוד משתמש, תוכל להתחבר למערכת באמצעות הדף הזה. אם אין לך קוד משתמש, תוכל לבקש קוד משתמש ע"י לחיצה על הקישור המתאים מלמטה.<br /><br />מנהלן האתר יבדוק את נתוניך ויפעיל את קוד המשתמש שלך. תקבל דואר אלקטרוני אחרי שקוד המשתמש שלך יאושר."
"welcome_text_auth_mode_2";"<center><b>ברוכים הבאים לאתר הזה של חקר שושלת היוחסין</b></center><br />גישה לאתר זה מותרת רק למשתמשים <u>מורשים.</u><br /><br />אם יש לך קוד משתמש תוכל להתחבר למערכת באמצעות הדף הזה. אם אין לך קוד משתמש, תוכל לבקש קוד משתמש ע"י לחיצה על הקישור מלמטה.<br /><br />מנהלן האתר יבדוק את נתוניך ויאשר או ידחה את בקשתך. תקבל דואר אלקטרוני אחרי שבקשתך תאושר."
